filename,lat,long
00180339.jpg,-0.0011950,-0.0002019
00180350.jpg,-0.0011774,-0.0002282
00180361.jpg,-0.0011635,-0.0002807
00180372.jpg,-0.0011268,-0.0003374
00180383.jpg,-0.0010680,-0.0003658
00180394.jpg,-0.0010046,-0.0003830
00180405.jpg,-0.0009413,-0.0003983
00180416.jpg,-0.0008759,-0.0004032
00180427.jpg,-0.0008107,-0.0004043
00180438.jpg,-0.0007451,-0.0004049
00180449.jpg,-0.0006830,-0.0004051
00180460.jpg,-0.0006182,-0.0004053
00180471.jpg,-0.0005561,-0.0004055
00180482.jpg,-0.0005549,-0.0004055
00180493.jpg,-0.0005549,-0.0004055
00180504.jpg,-0.0005549,-0.0004055
00180515.jpg,-0.0005549,-0.0004055
00180526.jpg,-0.0005549,-0.0004055
00180537.jpg,-0.0005549,-0.0004055
00180548.jpg,-0.0005549,-0.0004055
00180559.jpg,-0.0005549,-0.0004055
00180570.jpg,-0.0005549,-0.0004055
00180581.jpg,-0.0005549,-0.0004055
00180592.jpg,-0.0005549,-0.0004055
00180603.jpg,-0.0005549,-0.0004055
00180614.jpg,-0.0005549,-0.0004055
00180625.jpg,-0.0005549,-0.0004055
00180636.jpg,-0.0005549,-0.0004055
00180647.jpg,-0.0005549,-0.0004055
00180658.jpg,-0.0005549,-0.0004055
00180669.jpg,-0.0005549,-0.0004055
00180680.jpg,-0.0005549,-0.0004055
00180691.jpg,-0.0005549,-0.0004055
00180702.jpg,-0.0005549,-0.0004055
00180713.jpg,-0.0005549,-0.0004055
00180724.jpg,-0.0005549,-0.0004055
00180735.jpg,-0.0005549,-0.0004055
00180746.jpg,-0.0005549,-0.0004055
00180757.jpg,-0.0005476,-0.0004055
00180768.jpg,-0.0005158,-0.0004055
00180779.jpg,-0.0004621,-0.0003955
00180790.jpg,-0.0003959,-0.0003790
00180801.jpg,-0.0003295,-0.0003645
00180812.jpg,-0.0002766,-0.0003244
00180823.jpg,-0.0002543,-0.0002621
00180834.jpg,-0.0002357,-0.0001994
00180845.jpg,-0.0002174,-0.0001367
00180856.jpg,-0.0002187,-0.0000746
00180867.jpg,-0.0002208,-0.0000094
00180878.jpg,-0.0002216,0.0000561
00180889.jpg,-0.0002220,0.0001214
00180900.jpg,-0.0002222,0.0001868
00180911.jpg,-0.0002224,0.0002493
00180922.jpg,-0.0002226,0.0003143
00180933.jpg,-0.0002228,0.0003798
00180944.jpg,-0.0002230,0.0004451
00180955.jpg,-0.0002232,0.0005103
00180966.jpg,-0.0002233,0.0005755
00180977.jpg,-0.0002235,0.0006409
00180988.jpg,-0.0002237,0.0006981
00180999.jpg,-0.0002237,0.0006978
00181010.jpg,-0.0002237,0.0006978
00181021.jpg,-0.0002237,0.0006978
00181032.jpg,-0.0002237,0.0006978
00181043.jpg,-0.0002237,0.0007010
00181054.jpg,-0.0002239,0.0007251
00181065.jpg,-0.0002429,0.0007642
00181076.jpg,-0.0002623,0.0008237
00181087.jpg,-0.0002953,0.0008828
00181098.jpg,-0.0003529,0.0009139
00181109.jpg,-0.0004181,0.0009221
00181120.jpg,-0.0004796,0.0009217
00181131.jpg,-0.0005452,0.0009207
00181142.jpg,-0.0006105,0.0009200
00181153.jpg,-0.0006760,0.0009195
00181164.jpg,-0.0007377,0.0009190
00181175.jpg,-0.0007988,0.0009185
00181186.jpg,-0.0008631,0.0009149
00181197.jpg,-0.0009268,0.0009037
00181208.jpg,-0.0009880,0.0008834
00181219.jpg,-0.0010452,0.0008534
00181230.jpg,-0.0010972,0.0008152
00181241.jpg,-0.0011413,0.0007680
00181252.jpg,-0.0011741,0.0007124
00181263.jpg,-0.0011953,0.0006514
00181274.jpg,-0.0012031,0.0005873
00181285.jpg,-0.0012046,0.0005228
00181296.jpg,-0.0012048,0.0004582
00181307.jpg,-0.0012045,0.0003937
00181318.jpg,-0.0012042,0.0003291
00181329.jpg,-0.0012039,0.0002646
00181340.jpg,-0.0012035,0.0002000
00181351.jpg,-0.0012030,0.0001426
00181362.jpg,-0.0012020,0.0000775
00181373.jpg,-0.0012013,0.0000131
00181384.jpg,-0.0012008,-0.0000442
00181395.jpg,-0.0012005,-0.0001069
00181406.jpg,-0.0012001,-0.0001716
00181417.jpg,-0.0012000,-0.0001977
00181428.jpg,-0.0012000,-0.0001977
00181439.jpg,-0.0012000,-0.0001977
00181450.jpg,-0.0012000,-0.0001977
00181461.jpg,-0.0012000,-0.0001977
00181472.jpg,-0.0012000,-0.0001977
00181483.jpg,-0.0012000,-0.0001977
00181494.jpg,-0.0011999,-0.0001991
