filename,lat,long
00316659.jpg,-0.0011993,-0.0001976
00316670.jpg,-0.0011993,-0.0001976
00316681.jpg,-0.0011993,-0.0001976
00316692.jpg,-0.0011993,-0.0001976
00316703.jpg,-0.0011993,-0.0001976
00316714.jpg,-0.0011993,-0.0001976
00316725.jpg,-0.0011993,-0.0001976
00316736.jpg,-0.0011993,-0.0001976
00316747.jpg,-0.0011993,-0.0001976
00316758.jpg,-0.0011993,-0.0001976
00316769.jpg,-0.0011993,-0.0001976
00316780.jpg,-0.0011993,-0.0001976
00316791.jpg,-0.0011993,-0.0001976
00316802.jpg,-0.0011956,-0.0002014
00316813.jpg,-0.0011780,-0.0002258
00316824.jpg,-0.0011648,-0.0002778
00316835.jpg,-0.0011295,-0.0003356
00316846.jpg,-0.0010731,-0.0003642
00316857.jpg,-0.0010104,-0.0003813
00316868.jpg,-0.0009478,-0.0003971
00316879.jpg,-0.0008834,-0.0004027
00316890.jpg,-0.0008188,-0.0004042
00316901.jpg,-0.0007541,-0.0004048
00316912.jpg,-0.0006918,-0.0004050
00316923.jpg,-0.0006272,-0.0004052
00316934.jpg,-0.0005629,-0.0004054
00316945.jpg,-0.0005464,-0.0004055
00316956.jpg,-0.0005464,-0.0004055
00316967.jpg,-0.0005464,-0.0004055
00316978.jpg,-0.0005464,-0.0004055
00316989.jpg,-0.0005464,-0.0004055
00317000.jpg,-0.0005464,-0.0004055
00317011.jpg,-0.0005464,-0.0004055
00317022.jpg,-0.0005464,-0.0004055
00317033.jpg,-0.0005464,-0.0004055
00317044.jpg,-0.0005464,-0.0004055
00317055.jpg,-0.0005464,-0.0004055
00317066.jpg,-0.0005464,-0.0004055
00317077.jpg,-0.0005464,-0.0004055
00317088.jpg,-0.0005464,-0.0004055
00317099.jpg,-0.0005464,-0.0004055
00317110.jpg,-0.0005464,-0.0004055
00317121.jpg,-0.0005464,-0.0004055
00317132.jpg,-0.0005464,-0.0004055
00317143.jpg,-0.0005464,-0.0004055
00317154.jpg,-0.0005464,-0.0004055
00317165.jpg,-0.0005464,-0.0004055
00317176.jpg,-0.0005464,-0.0004055
00317187.jpg,-0.0005464,-0.0004055
00317198.jpg,-0.0005464,-0.0004055
00317209.jpg,-0.0005464,-0.0004055
00317220.jpg,-0.0005464,-0.0004055
00317231.jpg,-0.0005341,-0.0004055
00317242.jpg,-0.0004948,-0.0004054
00317253.jpg,-0.0004360,-0.0003853
00317264.jpg,-0.0003698,-0.0003746
00317275.jpg,-0.0003070,-0.0003530
00317286.jpg,-0.0002677,-0.0003053
00317297.jpg,-0.0002484,-0.0002434
00317308.jpg,-0.0002304,-0.0001815
00317319.jpg,-0.0002146,-0.0001207
00317330.jpg,-0.0002194,-0.0000554
00317341.jpg,-0.0002211,0.0000096
00317352.jpg,-0.0002218,0.0000744
00317363.jpg,-0.0002221,0.0001393
00317374.jpg,-0.0002223,0.0002042
00317385.jpg,-0.0002225,0.0002669
00317396.jpg,-0.0002227,0.0003293
00317407.jpg,-0.0002228,0.0003939
00317418.jpg,-0.0002230,0.0004590
00317429.jpg,-0.0002232,0.0005218
00317440.jpg,-0.0002234,0.0005865
00317451.jpg,-0.0002233,0.0006030
00317462.jpg,-0.0002233,0.0006030
00317473.jpg,-0.0002233,0.0006030
00317484.jpg,-0.0002233,0.0006030
00317495.jpg,-0.0002233,0.0006030
00317506.jpg,-0.0002233,0.0006030
00317517.jpg,-0.0002233,0.0006030
00317528.jpg,-0.0002233,0.0006030
00317539.jpg,-0.0002233,0.0006092
00317550.jpg,-0.0002235,0.0006415
00317561.jpg,-0.0002237,0.0006983
00317572.jpg,-0.0002322,0.0007603
00317583.jpg,-0.0002596,0.0008193
00317594.jpg,-0.0002902,0.0008769
00317605.jpg,-0.0003434,0.0009124
00317616.jpg,-0.0004068,0.0009200
00317627.jpg,-0.0004458,0.0009257
00317638.jpg,-0.0004561,0.0009238
00317649.jpg,-0.0004932,0.0009219
00317660.jpg,-0.0005535,0.0009207
00317671.jpg,-0.0006181,0.0009200
00317682.jpg,-0.0006831,0.0009194
00317693.jpg,-0.0007459,0.0009190
00317704.jpg,-0.0008110,0.0009182
00317715.jpg,-0.0008754,0.0009134
00317726.jpg,-0.0009046,0.0009095
00317737.jpg,-0.0009361,0.0009018
00317748.jpg,-0.0009894,0.0008829
00317759.jpg,-0.0010471,0.0008523
00317770.jpg,-0.0010989,0.0008139
00317781.jpg,-0.0011423,0.0007657
00317792.jpg,-0.0011754,0.0007099
00317803.jpg,-0.0011947,0.0006607
00317814.jpg,-0.0011999,0.0006330
00317825.jpg,-0.0012040,0.0005807
00317836.jpg,-0.0012048,0.0005149
00317847.jpg,-0.0012048,0.0004501
00317858.jpg,-0.0012045,0.0003856
00317869.jpg,-0.0012041,0.0003386
00317880.jpg,-0.0012041,0.0003129
00317891.jpg,-0.0012039,0.0002624
00317902.jpg,-0.0012035,0.0001967
00317913.jpg,-0.0012029,0.0001320
00317924.jpg,-0.0012019,0.0000668
00317935.jpg,-0.0012015,0.0000280
00317946.jpg,-0.0012014,0.0000249
00317957.jpg,-0.0012013,0.0000139
00317968.jpg,-0.0012013,0.0000112
00317979.jpg,-0.0012013,0.0000112
00317990.jpg,-0.0012013,0.0000099
00318001.jpg,-0.0012011,-0.0000074
00318012.jpg,-0.0012011,-0.0000137
00318023.jpg,-0.0012009,-0.0000460
00318034.jpg,-0.0012005,-0.0001029
00318045.jpg,-0.0012002,-0.0001556
00318056.jpg,-0.0011999,-0.0001965
