filename,lat,long
00434058.jpg,-0.0011993,-0.0001976
00434069.jpg,-0.0011993,-0.0001976
00434080.jpg,-0.0011993,-0.0001976
00434091.jpg,-0.0011993,-0.0001976
00434102.jpg,-0.0011990,-0.0001981
00434113.jpg,-0.0011846,-0.0002138
00434124.jpg,-0.0011709,-0.0002564
00434135.jpg,-0.0011454,-0.0003169
00434146.jpg,-0.0010965,-0.0003572
00434157.jpg,-0.0010332,-0.0003752
00434168.jpg,-0.0009707,-0.0003921
00434179.jpg,-0.0009068,-0.0004016
00434190.jpg,-0.0008422,-0.0004038
00434201.jpg,-0.0007776,-0.0004046
00434212.jpg,-0.0007141,-0.0004050
00434223.jpg,-0.0006507,-0.0004052
00434234.jpg,-0.0005862,-0.0004053
00434245.jpg,-0.0005222,-0.0004055
00434256.jpg,-0.0004857,-0.0004056
00434267.jpg,-0.0004857,-0.0004056
00434278.jpg,-0.0004740,-0.0004029
00434289.jpg,-0.0004385,-0.0003867
00434300.jpg,-0.0004018,-0.0003748
00434311.jpg,-0.0004002,-0.0003743
00434322.jpg,-0.0003853,-0.0003748
00434333.jpg,-0.0003446,-0.0003696
00434344.jpg,-0.0002894,-0.0003397
00434355.jpg,-0.0002604,-0.0002834
00434366.jpg,-0.0002421,-0.0002214
00434377.jpg,-0.0002239,-0.0001590
00434388.jpg,-0.0002164,-0.0000985
00434399.jpg,-0.0002199,-0.0000334
00434410.jpg,-0.0002213,0.0000305
00434421.jpg,-0.0002218,0.0000954
00434432.jpg,-0.0002221,0.0001597
00434443.jpg,-0.0002224,0.0002247
00434454.jpg,-0.0002225,0.0002883
00434465.jpg,-0.0002227,0.0003531
00434476.jpg,-0.0002229,0.0004173
00434487.jpg,-0.0002231,0.0004823
00434498.jpg,-0.0002233,0.0005444
00434509.jpg,-0.0002234,0.0006096
00434520.jpg,-0.0002236,0.0006744
00434531.jpg,-0.0002245,0.0007385
00434542.jpg,-0.0002526,0.0007962
00434553.jpg,-0.0002781,0.0008582
00434564.jpg,-0.0003229,0.0009037
00434575.jpg,-0.0003864,0.0009169
00434586.jpg,-0.0004498,0.0009236
00434597.jpg,-0.0005147,0.0009216
00434608.jpg,-0.0005789,0.0009205
00434619.jpg,-0.0006438,0.0009198
00434630.jpg,-0.0007081,0.0009192
00434641.jpg,-0.0007729,0.0009188
00434652.jpg,-0.0008367,0.0009171
00434663.jpg,-0.0009014,0.0009092
00434674.jpg,-0.0009628,0.0008925
00434685.jpg,-0.0010226,0.0008665
00434696.jpg,-0.0010765,0.0008320
00434707.jpg,-0.0011243,0.0007880
00434718.jpg,-0.0011618,0.0007361
00434729.jpg,-0.0011875,0.0006761
00434740.jpg,-0.0012009,0.0006137
00434751.jpg,-0.0012043,0.0005487
00434762.jpg,-0.0012048,0.0004843
00434773.jpg,-0.0012046,0.0004196
00434784.jpg,-0.0012043,0.0003546
00434795.jpg,-0.0012036,0.0002946
00434806.jpg,-0.0012037,0.0002815
00434817.jpg,-0.0012037,0.0002429
00434828.jpg,-0.0012034,0.0001818
00434839.jpg,-0.0012027,0.0001170
00434850.jpg,-0.0012018,0.0000519
00434861.jpg,-0.0012010,-0.0000123
00434872.jpg,-0.0012009,-0.0000200
00434883.jpg,-0.0012009,-0.0000200
00434894.jpg,-0.0012009,-0.0000200
00434905.jpg,-0.0012009,-0.0000200
00434916.jpg,-0.0012009,-0.0000200
00434927.jpg,-0.0012009,-0.0000200
00434938.jpg,-0.0012009,-0.0000200
00434949.jpg,-0.0012009,-0.0000200
00434960.jpg,-0.0012009,-0.0000200
00434971.jpg,-0.0012009,-0.0000200
00434982.jpg,-0.0012009,-0.0000200
00434993.jpg,-0.0012009,-0.0000200
00435004.jpg,-0.0012009,-0.0000200
00435015.jpg,-0.0012009,-0.0000200
00435026.jpg,-0.0012009,-0.0000200
00435037.jpg,-0.0012009,-0.0000299
00435048.jpg,-0.0012007,-0.0000668
00435059.jpg,-0.0012004,-0.0001272
00435070.jpg,-0.0012000,-0.0001915
