filename,lat,long
00002014.jpg,-0.0011993,-0.0001976
00002025.jpg,-0.0011993,-0.0001976
00002036.jpg,-0.0011993,-0.0001976
00002047.jpg,-0.0011993,-0.0001976
00002058.jpg,-0.0011993,-0.0001976
00002069.jpg,-0.0011993,-0.0001976
00002080.jpg,-0.0011993,-0.0001976
00002091.jpg,-0.0011993,-0.0001976
00002102.jpg,-0.0011993,-0.0001976
00002113.jpg,-0.0011993,-0.0001976
00002124.jpg,-0.0011993,-0.0001976
00002135.jpg,-0.0011993,-0.0001976
00002146.jpg,-0.0011987,-0.0001983
00002157.jpg,-0.0011860,-0.0002108
00002168.jpg,-0.0011747,-0.0002390
00002179.jpg,-0.0011647,-0.0002792
00002190.jpg,-0.0011423,-0.0003218
00002201.jpg,-0.0011040,-0.0003542
00002212.jpg,-0.0010551,-0.0003682
00002223.jpg,-0.0010052,-0.0003822
00002234.jpg,-0.0009436,-0.0003980
00002245.jpg,-0.0009075,-0.0004030
00002256.jpg,-0.0009078,-0.0004030
00002267.jpg,-0.0009078,-0.0004030
00002278.jpg,-0.0009078,-0.0004030
00002289.jpg,-0.0009078,-0.0004030
00002300.jpg,-0.0009078,-0.0004030
00002311.jpg,-0.0009078,-0.0004030
00002322.jpg,-0.0009078,-0.0004030
00002333.jpg,-0.0009078,-0.0004030
00002344.jpg,-0.0009078,-0.0004030
00002355.jpg,-0.0009078,-0.0004030
00002366.jpg,-0.0009078,-0.0004030
00002377.jpg,-0.0009078,-0.0004030
00002388.jpg,-0.0009078,-0.0004030
00002399.jpg,-0.0009078,-0.0004030
00002410.jpg,-0.0009078,-0.0004030
00002421.jpg,-0.0009078,-0.0004030
00002432.jpg,-0.0009078,-0.0004030
00002443.jpg,-0.0009078,-0.0004030
00002454.jpg,-0.0009078,-0.0004030
00002465.jpg,-0.0009078,-0.0004030
00002476.jpg,-0.0009078,-0.0004030
00002487.jpg,-0.0009078,-0.0004030
00002498.jpg,-0.0009078,-0.0004030
00002509.jpg,-0.0009078,-0.0004030
00002520.jpg,-0.0009078,-0.0004030
00002531.jpg,-0.0009078,-0.0004030
00002542.jpg,-0.0009078,-0.0004030
00002553.jpg,-0.0009078,-0.0004030
00002564.jpg,-0.0009078,-0.0004030
00002575.jpg,-0.0009078,-0.0004030
00002586.jpg,-0.0009078,-0.0004030
00002597.jpg,-0.0009069,-0.0004030
00002608.jpg,-0.0008930,-0.0004033
00002619.jpg,-0.0008635,-0.0004038
00002630.jpg,-0.0008227,-0.0004043
00002641.jpg,-0.0007747,-0.0004047
00002652.jpg,-0.0007247,-0.0004050
00002663.jpg,-0.0006786,-0.0004051
00002674.jpg,-0.0006316,-0.0004052
00002685.jpg,-0.0005816,-0.0004054
00002696.jpg,-0.0005309,-0.0004055
00002707.jpg,-0.0004902,-0.0004056
00002718.jpg,-0.0004881,-0.0004056
00002729.jpg,-0.0004881,-0.0004056
00002740.jpg,-0.0004881,-0.0004056
00002751.jpg,-0.0004881,-0.0004056
00002762.jpg,-0.0004881,-0.0004056
00002773.jpg,-0.0004881,-0.0004056
00002784.jpg,-0.0004881,-0.0004056
00002795.jpg,-0.0004881,-0.0004056
00002806.jpg,-0.0004881,-0.0004056
00002817.jpg,-0.0004881,-0.0004056
