filename,lat,long
00665003.jpg,-0.0011993,-0.0001976
00665014.jpg,-0.0011993,-0.0001976
00665025.jpg,-0.0011993,-0.0001976
00665036.jpg,-0.0011993,-0.0001976
00665047.jpg,-0.0011993,-0.0001976
00665058.jpg,-0.0011983,-0.0001987
00665069.jpg,-0.0011764,-0.0002291
00665080.jpg,-0.0011594,-0.0002903
00665091.jpg,-0.0011185,-0.0003440
00665102.jpg,-0.0010637,-0.0003664
00665113.jpg,-0.0010043,-0.0003828
00665124.jpg,-0.0009446,-0.0003976
00665135.jpg,-0.0008825,-0.0004022
00665146.jpg,-0.0008202,-0.0004039
00665157.jpg,-0.0007587,-0.0004047
00665168.jpg,-0.0007028,-0.0004050
00665179.jpg,-0.0006404,-0.0004052
00665190.jpg,-0.0005803,-0.0004054
00665201.jpg,-0.0005798,-0.0004054
00665212.jpg,-0.0005798,-0.0004054
00665223.jpg,-0.0005798,-0.0004054
00665234.jpg,-0.0005798,-0.0004054
00665245.jpg,-0.0005798,-0.0004054
00665256.jpg,-0.0005798,-0.0004054
00665267.jpg,-0.0005798,-0.0004054
00665278.jpg,-0.0005798,-0.0004054
00665289.jpg,-0.0005798,-0.0004054
00665300.jpg,-0.0005798,-0.0004054
00665311.jpg,-0.0005798,-0.0004054
00665322.jpg,-0.0005798,-0.0004054
00665333.jpg,-0.0005798,-0.0004054
00665344.jpg,-0.0005798,-0.0004054
00665355.jpg,-0.0005798,-0.0004054
00665366.jpg,-0.0005798,-0.0004054
00665377.jpg,-0.0005798,-0.0004054
00665388.jpg,-0.0005798,-0.0004054
00665399.jpg,-0.0005798,-0.0004054
00665410.jpg,-0.0005798,-0.0004054
00665421.jpg,-0.0005798,-0.0004054
00665432.jpg,-0.0005798,-0.0004054
00665443.jpg,-0.0005798,-0.0004054
00665454.jpg,-0.0005798,-0.0004054
00665465.jpg,-0.0005798,-0.0004054
00665476.jpg,-0.0005798,-0.0004054
00665487.jpg,-0.0005798,-0.0004054
00665498.jpg,-0.0005798,-0.0004054
00665509.jpg,-0.0005798,-0.0004054
00665520.jpg,-0.0005798,-0.0004054
00665531.jpg,-0.0005775,-0.0004054
00665542.jpg,-0.0005407,-0.0004055
00665553.jpg,-0.0004778,-0.0003991
00665564.jpg,-0.0004127,-0.0003810
00665575.jpg,-0.0003473,-0.0003696
00665586.jpg,-0.0002901,-0.0003369
00665597.jpg,-0.0002624,-0.0002790
00665608.jpg,-0.0002439,-0.0002179
00665619.jpg,-0.0002234,-0.0001562
00665630.jpg,-0.0002184,-0.0000948
00665641.jpg,-0.0002206,-0.0000312
00665652.jpg,-0.0002215,0.0000325
00665663.jpg,-0.0002219,0.0000977
00665674.jpg,-0.0002222,0.0001613
00665685.jpg,-0.0002224,0.0002257
00665696.jpg,-0.0002225,0.0002903
00665707.jpg,-0.0002227,0.0003528
00665718.jpg,-0.0002229,0.0004163
00665729.jpg,-0.0002231,0.0004815
00665740.jpg,-0.0002233,0.0005439
00665751.jpg,-0.0002234,0.0006079
00665762.jpg,-0.0002236,0.0006721
00665773.jpg,-0.0002247,0.0007369
00665784.jpg,-0.0002503,0.0007982
00665795.jpg,-0.0002780,0.0008599
00665806.jpg,-0.0003255,0.0009032
00665817.jpg,-0.0003889,0.0009180
00665828.jpg,-0.0004521,0.0009234
00665839.jpg,-0.0005166,0.0009215
00665850.jpg,-0.0005811,0.0009204
00665861.jpg,-0.0006445,0.0009198
00665872.jpg,-0.0007096,0.0009192
00665883.jpg,-0.0007709,0.0009188
00665894.jpg,-0.0008349,0.0009172
00665905.jpg,-0.0008982,0.0009099
00665916.jpg,-0.0009612,0.0008934
00665927.jpg,-0.0010195,0.0008680
00665938.jpg,-0.0010740,0.0008335
00665949.jpg,-0.0011222,0.0007904
00665960.jpg,-0.0011598,0.0007391
00665971.jpg,-0.0011867,0.0006798
00665982.jpg,-0.0012010,0.0006174
00665993.jpg,-0.0012041,0.0005535
00666004.jpg,-0.0012047,0.0004882
00666015.jpg,-0.0012046,0.0004245
00666026.jpg,-0.0012044,0.0003600
00666037.jpg,-0.0012040,0.0002951
00666048.jpg,-0.0012037,0.0002316
00666059.jpg,-0.0012033,0.0001715
00666070.jpg,-0.0012025,0.0001107
00666081.jpg,-0.0012017,0.0000488
00666092.jpg,-0.0012010,-0.0000127
00666103.jpg,-0.0012007,-0.0000631
00666114.jpg,-0.0012004,-0.0001244
00666125.jpg,-0.0012000,-0.0001865
00666136.jpg,-0.0012000,-0.0001944
00666147.jpg,-0.0012000,-0.0001944
00666158.jpg,-0.0012000,-0.0001944
00666169.jpg,-0.0012000,-0.0001944
00666180.jpg,-0.0012000,-0.0001944
00666191.jpg,-0.0012000,-0.0001944
00666202.jpg,-0.0012000,-0.0001944
00666213.jpg,-0.0012000,-0.0001944
00666224.jpg,-0.0012000,-0.0001944
00666235.jpg,-0.0012000,-0.0001944
00666246.jpg,-0.0012000,-0.0001944
00666257.jpg,-0.0012000,-0.0001944
00666268.jpg,-0.0011999,-0.0002021
