filename,lat,long
00029441.jpg,-0.0011950,-0.0002018
00029452.jpg,-0.0011775,-0.0002280
00029463.jpg,-0.0011636,-0.0002803
00029474.jpg,-0.0011269,-0.0003371
00029485.jpg,-0.0010683,-0.0003656
00029496.jpg,-0.0010049,-0.0003828
00029507.jpg,-0.0009416,-0.0003982
00029518.jpg,-0.0008762,-0.0004031
00029529.jpg,-0.0008110,-0.0004043
00029540.jpg,-0.0007454,-0.0004049
00029551.jpg,-0.0006832,-0.0004051
00029562.jpg,-0.0006184,-0.0004053
00029573.jpg,-0.0005533,-0.0004054
00029584.jpg,-0.0004885,-0.0004036
00029595.jpg,-0.0004238,-0.0003824
00029606.jpg,-0.0003569,-0.0003721
00029617.jpg,-0.0002955,-0.0003443
00029628.jpg,-0.0002614,-0.0002892
00029639.jpg,-0.0002436,-0.0002268
00029650.jpg,-0.0002254,-0.0001642
00029661.jpg,-0.0002158,-0.0001027
00029672.jpg,-0.0002198,-0.0000375
00029683.jpg,-0.0002213,0.0000273
00029694.jpg,-0.0002218,0.0000924
00029705.jpg,-0.0002221,0.0001573
00029716.jpg,-0.0002224,0.0002223
00029727.jpg,-0.0002225,0.0002818
00029738.jpg,-0.0002227,0.0003427
00029749.jpg,-0.0002229,0.0004077
00029760.jpg,-0.0002230,0.0004721
00029771.jpg,-0.0002232,0.0005297
00029782.jpg,-0.0002234,0.0005714
00029793.jpg,-0.0002234,0.0005711
00029804.jpg,-0.0002234,0.0005711
00029815.jpg,-0.0002234,0.0005711
00029826.jpg,-0.0002234,0.0005711
00029837.jpg,-0.0002234,0.0005711
00029848.jpg,-0.0002234,0.0005711
00029859.jpg,-0.0002234,0.0005711
00029870.jpg,-0.0002234,0.0005711
00029881.jpg,-0.0002234,0.0005711
00029892.jpg,-0.0002234,0.0005711
00029903.jpg,-0.0002234,0.0005711
00029914.jpg,-0.0002234,0.0005711
00029925.jpg,-0.0002234,0.0005711
00029936.jpg,-0.0002234,0.0005711
00029947.jpg,-0.0002234,0.0005711
00029958.jpg,-0.0002234,0.0005711
00029969.jpg,-0.0002234,0.0005711
00029980.jpg,-0.0002234,0.0005711
00029991.jpg,-0.0002234,0.0005711
00030002.jpg,-0.0002234,0.0005711
00030013.jpg,-0.0002234,0.0005711
00030024.jpg,-0.0002234,0.0005823
00030035.jpg,-0.0002235,0.0006192
00030046.jpg,-0.0002236,0.0006780
00030057.jpg,-0.0002238,0.0007355
00030068.jpg,-0.0002239,0.0007353
00030079.jpg,-0.0002371,0.0007471
00030090.jpg,-0.0002415,0.0007605
00030101.jpg,-0.0002416,0.0007605
00030112.jpg,-0.0002416,0.0007606
00030123.jpg,-0.0002480,0.0007723
00030134.jpg,-0.0002584,0.0008104
00030145.jpg,-0.0002818,0.0008655
00030156.jpg,-0.0003330,0.0009070
00030167.jpg,-0.0003977,0.0009196
00030178.jpg,-0.0004590,0.0009228
00030189.jpg,-0.0005247,0.0009212
00030200.jpg,-0.0005899,0.0009202
00030211.jpg,-0.0006554,0.0009197
00030222.jpg,-0.0007207,0.0009191
00030233.jpg,-0.0007853,0.0009187
00030244.jpg,-0.0008507,0.0009160
00030255.jpg,-0.0009152,0.0009065
00030266.jpg,-0.0009779,0.0008875
00030277.jpg,-0.0010365,0.0008587
00030288.jpg,-0.0010903,0.0008214
00030299.jpg,-0.0011357,0.0007746
00030310.jpg,-0.0011710,0.0007194
00030321.jpg,-0.0011935,0.0006581
00030332.jpg,-0.0012027,0.0005933
00030343.jpg,-0.0012045,0.0005280
00030354.jpg,-0.0012048,0.0004626
00030365.jpg,-0.0012046,0.0003973
00030376.jpg,-0.0012043,0.0003319
00030387.jpg,-0.0012039,0.0002665
00030398.jpg,-0.0012035,0.0002012
00030409.jpg,-0.0012035,0.0001860
00030420.jpg,-0.0012034,0.0001802
00030431.jpg,-0.0012032,0.0001508
00030442.jpg,-0.0012024,0.0000974
00030453.jpg,-0.0012022,0.0000837
00030464.jpg,-0.0012018,0.0000622
00030475.jpg,-0.0012016,0.0000464
00030486.jpg,-0.0012016,0.0000465
00030497.jpg,-0.0012016,0.0000465
00030508.jpg,-0.0012016,0.0000465
00030519.jpg,-0.0012016,0.0000465
00030530.jpg,-0.0012016,0.0000465
00030541.jpg,-0.0012016,0.0000465
00030552.jpg,-0.0012016,0.0000465
00030563.jpg,-0.0012016,0.0000465
00030574.jpg,-0.0012016,0.0000465
00030585.jpg,-0.0012016,0.0000465
00030596.jpg,-0.0012016,0.0000465
00030607.jpg,-0.0012016,0.0000465
00030618.jpg,-0.0012016,0.0000465
00030629.jpg,-0.0012016,0.0000465
00030640.jpg,-0.0012016,0.0000421
00030651.jpg,-0.0012013,0.0000152
00030662.jpg,-0.0012009,-0.0000288
00030673.jpg,-0.0012006,-0.0000852
00030684.jpg,-0.0012002,-0.0001509
