filename,lat,long
00162521.jpg,-0.0011993,-0.0001976
00162532.jpg,-0.0011993,-0.0001976
00162543.jpg,-0.0011993,-0.0001976
00162554.jpg,-0.0011993,-0.0001976
00162565.jpg,-0.0011993,-0.0001976
00162576.jpg,-0.0011993,-0.0001976
00162587.jpg,-0.0011921,-0.0002043
00162598.jpg,-0.0011731,-0.0002476
00162609.jpg,-0.0011487,-0.0003107
00162620.jpg,-0.0011009,-0.0003544
00162631.jpg,-0.0010425,-0.0003716
00162642.jpg,-0.0009833,-0.0003881
00162653.jpg,-0.0009238,-0.0004002
00162664.jpg,-0.0008631,-0.0004028
00162675.jpg,-0.0008030,-0.0004042
00162686.jpg,-0.0007419,-0.0004049
00162697.jpg,-0.0006850,-0.0004050
00162708.jpg,-0.0006264,-0.0004052
00162719.jpg,-0.0005666,-0.0004054
00162730.jpg,-0.0005063,-0.0004056
00162741.jpg,-0.0004446,-0.0003902
00162752.jpg,-0.0004415,-0.0003901
00162763.jpg,-0.0004415,-0.0003901
00162774.jpg,-0.0004404,-0.0003894
00162785.jpg,-0.0004143,-0.0003804
00162796.jpg,-0.0003538,-0.0003712
00162807.jpg,-0.0002941,-0.0003415
00162818.jpg,-0.0002628,-0.0002918
00162829.jpg,-0.0002486,-0.0002325
00162840.jpg,-0.0002293,-0.0001743
00162851.jpg,-0.0002165,-0.0001154
00162862.jpg,-0.0002199,-0.0000509
00162873.jpg,-0.0002212,0.0000084
00162884.jpg,-0.0002217,0.0000727
00162895.jpg,-0.0002221,0.0001373
00162906.jpg,-0.0002223,0.0002022
00162917.jpg,-0.0002225,0.0002649
00162928.jpg,-0.0002227,0.0003286
00162939.jpg,-0.0002228,0.0003939
00162950.jpg,-0.0002230,0.0004579
00162961.jpg,-0.0002232,0.0005227
00162972.jpg,-0.0002234,0.0005876
00162983.jpg,-0.0002233,0.0006098
00162994.jpg,-0.0002233,0.0006098
00163005.jpg,-0.0002233,0.0006098
00163016.jpg,-0.0002233,0.0006098
00163027.jpg,-0.0002233,0.0006098
00163038.jpg,-0.0002233,0.0006098
00163049.jpg,-0.0002233,0.0006098
00163060.jpg,-0.0002233,0.0006098
00163071.jpg,-0.0002233,0.0006098
00163082.jpg,-0.0002233,0.0006098
00163093.jpg,-0.0002233,0.0006098
00163104.jpg,-0.0002233,0.0006098
00163115.jpg,-0.0002233,0.0006098
00163126.jpg,-0.0002233,0.0006098
00163137.jpg,-0.0002233,0.0006098
00163148.jpg,-0.0002233,0.0006098
00163159.jpg,-0.0002233,0.0006098
00163170.jpg,-0.0002233,0.0006098
00163181.jpg,-0.0002233,0.0006098
00163192.jpg,-0.0002233,0.0006098
00163203.jpg,-0.0002233,0.0006098
00163214.jpg,-0.0002233,0.0006098
00163225.jpg,-0.0002233,0.0006098
00163236.jpg,-0.0002233,0.0006098
00163247.jpg,-0.0002233,0.0006098
00163258.jpg,-0.0002233,0.0006098
00163269.jpg,-0.0002233,0.0006098
00163280.jpg,-0.0002233,0.0006098
00163291.jpg,-0.0002233,0.0006098
00163302.jpg,-0.0002233,0.0006098
00163313.jpg,-0.0002233,0.0006099
00163324.jpg,-0.0002235,0.0006302
00163335.jpg,-0.0002236,0.0006882
00163346.jpg,-0.0002277,0.0007439
00163357.jpg,-0.0002530,0.0008060
00163368.jpg,-0.0002822,0.0008658
00163379.jpg,-0.0002939,0.0008862
00163390.jpg,-0.0003213,0.0009055
00163401.jpg,-0.0003827,0.0009164
00163412.jpg,-0.0004472,0.0009241
00163423.jpg,-0.0005123,0.0009219
00163434.jpg,-0.0005765,0.0009206
00163445.jpg,-0.0006419,0.0009199
00163456.jpg,-0.0007060,0.0009193
00163467.jpg,-0.0007646,0.0009189
00163478.jpg,-0.0008271,0.0009175
00163489.jpg,-0.0008882,0.0009115
00163500.jpg,-0.0009479,0.0008972
00163511.jpg,-0.0010059,0.0008741
00163522.jpg,-0.0010592,0.0008441
00163533.jpg,-0.0011091,0.0008035
00163544.jpg,-0.0011503,0.0007537
00163555.jpg,-0.0011792,0.0007005
00163566.jpg,-0.0011965,0.0006433
00163577.jpg,-0.0012033,0.0005800
00163588.jpg,-0.0012046,0.0005150
00163599.jpg,-0.0012047,0.0004508
00163610.jpg,-0.0012045,0.0003862
00163621.jpg,-0.0012042,0.0003215
00163632.jpg,-0.0012038,0.0002574
00163643.jpg,-0.0012035,0.0001924
00163654.jpg,-0.0012028,0.0001285
00163665.jpg,-0.0012019,0.0000635
00163676.jpg,-0.0012011,-0.0000007
00163687.jpg,-0.0012008,-0.0000592
00163698.jpg,-0.0012001,-0.0000971
00163709.jpg,-0.0012001,-0.0000971
00163720.jpg,-0.0012001,-0.0000971
00163731.jpg,-0.0012001,-0.0000971
00163742.jpg,-0.0012001,-0.0000971
00163753.jpg,-0.0012001,-0.0000971
00163764.jpg,-0.0012001,-0.0000971
00163775.jpg,-0.0012002,-0.0001079
00163786.jpg,-0.0012001,-0.0001569
