filename,lat,long
00507153.jpg,-0.0011993,-0.0001976
00507164.jpg,-0.0011993,-0.0001976
00507175.jpg,-0.0011993,-0.0001976
00507186.jpg,-0.0011993,-0.0001976
00507197.jpg,-0.0011993,-0.0001976
00507208.jpg,-0.0011993,-0.0001976
00507219.jpg,-0.0011993,-0.0001976
00507230.jpg,-0.0011993,-0.0001976
00507241.jpg,-0.0011993,-0.0001976
00507252.jpg,-0.0011993,-0.0001976
00507263.jpg,-0.0011993,-0.0001976
00507274.jpg,-0.0011993,-0.0001976
00507285.jpg,-0.0011993,-0.0001976
00507296.jpg,-0.0011992,-0.0001977
00507307.jpg,-0.0011882,-0.0002087
00507318.jpg,-0.0011678,-0.0002658
00507329.jpg,-0.0011413,-0.0003220
00507340.jpg,-0.0010883,-0.0003593
00507351.jpg,-0.0010254,-0.0003765
00507362.jpg,-0.0009634,-0.0003937
00507373.jpg,-0.0008989,-0.0004022
00507384.jpg,-0.0008350,-0.0004040
00507395.jpg,-0.0007734,-0.0004046
00507406.jpg,-0.0007189,-0.0004050
00507417.jpg,-0.0006843,-0.0004051
00507428.jpg,-0.0006275,-0.0004052
00507439.jpg,-0.0005651,-0.0004054
00507450.jpg,-0.0005013,-0.0004056
00507461.jpg,-0.0004404,-0.0003904
00507472.jpg,-0.0004393,-0.0003899
00507483.jpg,-0.0004393,-0.0003899
00507494.jpg,-0.0004394,-0.0003898
00507505.jpg,-0.0004393,-0.0003898
00507516.jpg,-0.0004393,-0.0003897
00507527.jpg,-0.0004393,-0.0003897
00507538.jpg,-0.0004393,-0.0003897
00507549.jpg,-0.0004393,-0.0003897
00507560.jpg,-0.0004393,-0.0003897
00507571.jpg,-0.0004393,-0.0003896
00507582.jpg,-0.0004393,-0.0003896
00507593.jpg,-0.0004393,-0.0003896
00507604.jpg,-0.0004393,-0.0003896
00507615.jpg,-0.0004393,-0.0003896
00507626.jpg,-0.0004393,-0.0003896
00507637.jpg,-0.0004393,-0.0003895
00507648.jpg,-0.0004393,-0.0003896
00507659.jpg,-0.0004393,-0.0003896
00507670.jpg,-0.0004393,-0.0003896
00507681.jpg,-0.0004393,-0.0003896
00507692.jpg,-0.0004393,-0.0003896
00507703.jpg,-0.0004393,-0.0003896
00507714.jpg,-0.0004391,-0.0003900
00507725.jpg,-0.0004391,-0.0003901
00507736.jpg,-0.0004393,-0.0003896
00507747.jpg,-0.0004393,-0.0003896
00507758.jpg,-0.0004393,-0.0003896
00507769.jpg,-0.0004375,-0.0003885
00507780.jpg,-0.0004013,-0.0003792
00507791.jpg,-0.0003343,-0.0003661
00507802.jpg,-0.0002823,-0.0003315
00507813.jpg,-0.0002579,-0.0002725
00507824.jpg,-0.0002402,-0.0002137
00507835.jpg,-0.0002255,-0.0001643
00507846.jpg,-0.0002168,-0.0001167
00507857.jpg,-0.0002200,-0.0000725
00507868.jpg,-0.0002211,-0.0000128
00507879.jpg,-0.0002219,0.0000489
00507890.jpg,-0.0002220,0.0001133
00507901.jpg,-0.0002222,0.0001784
00507912.jpg,-0.0002224,0.0002356
00507923.jpg,-0.0002225,0.0002825
00507934.jpg,-0.0002226,0.0003450
00507945.jpg,-0.0002229,0.0004099
00507956.jpg,-0.0002231,0.0004746
00507967.jpg,-0.0002232,0.0005307
00507978.jpg,-0.0002234,0.0005923
00507989.jpg,-0.0002236,0.0006567
00508000.jpg,-0.0002237,0.0006910
00508011.jpg,-0.0002237,0.0006910
00508022.jpg,-0.0002237,0.0007188
00508033.jpg,-0.0002426,0.0007643
00508044.jpg,-0.0002646,0.0008268
00508055.jpg,-0.0002974,0.0008848
00508066.jpg,-0.0003369,0.0009098
00508077.jpg,-0.0003976,0.0009183
00508088.jpg,-0.0004492,0.0009228
00508099.jpg,-0.0005024,0.0009212
00508110.jpg,-0.0005662,0.0009204
00508121.jpg,-0.0006277,0.0009197
00508132.jpg,-0.0006918,0.0009193
00508143.jpg,-0.0007395,0.0009190
00508154.jpg,-0.0007804,0.0009187
00508165.jpg,-0.0008401,0.0009170
00508176.jpg,-0.0009040,0.0009087
00508187.jpg,-0.0009607,0.0008934
00508198.jpg,-0.0010076,0.0008743
00508209.jpg,-0.0010550,0.0008478
00508220.jpg,-0.0011000,0.0008131
00508231.jpg,-0.0011411,0.0007679
00508242.jpg,-0.0011734,0.0007139
00508253.jpg,-0.0011941,0.0006537
00508264.jpg,-0.0012027,0.0005920
00508275.jpg,-0.0012043,0.0005295
00508286.jpg,-0.0012048,0.0004677
00508297.jpg,-0.0012046,0.0004051
00508308.jpg,-0.0012043,0.0003452
00508319.jpg,-0.0012040,0.0002800
00508330.jpg,-0.0012036,0.0002156
00508341.jpg,-0.0012031,0.0001514
00508352.jpg,-0.0012022,0.0000867
00508363.jpg,-0.0012014,0.0000219
00508374.jpg,-0.0012009,-0.0000312
00508385.jpg,-0.0012006,-0.0000822
00508396.jpg,-0.0012003,-0.0000883
00508407.jpg,-0.0012003,-0.0000883
00508418.jpg,-0.0012003,-0.0000883
00508429.jpg,-0.0012003,-0.0000883
00508440.jpg,-0.0012003,-0.0000883
00508451.jpg,-0.0012003,-0.0000883
00508462.jpg,-0.0012003,-0.0000883
00508473.jpg,-0.0012003,-0.0000882
00508484.jpg,-0.0012004,-0.0001036
00508495.jpg,-0.0012001,-0.0001652
