filename,lat,long
00134534.jpg,-0.0011678,-0.0001976
00134545.jpg,-0.0011678,-0.0001976
00134556.jpg,-0.0011678,-0.0001976
00134567.jpg,-0.0011678,-0.0001976
00134578.jpg,-0.0011678,-0.0001976
00134589.jpg,-0.0011678,-0.0001976
00134600.jpg,-0.0011678,-0.0001976
00134611.jpg,-0.0011678,-0.0001976
00134622.jpg,-0.0011678,-0.0001976
00134633.jpg,-0.0011678,-0.0001976
00134644.jpg,-0.0011678,-0.0001976
00134655.jpg,-0.0011678,-0.0002010
00134666.jpg,-0.0011677,-0.0002291
00134677.jpg,-0.0011596,-0.0002835
00134688.jpg,-0.0011217,-0.0003383
00134699.jpg,-0.0010549,-0.0003648
00134710.jpg,-0.0009820,-0.0003707
00134721.jpg,-0.0009090,-0.0003724
00134732.jpg,-0.0008358,-0.0003730
00134743.jpg,-0.0007626,-0.0003734
00134754.jpg,-0.0006895,-0.0003736
00134765.jpg,-0.0006164,-0.0003738
00134776.jpg,-0.0005942,-0.0003739
00134787.jpg,-0.0005942,-0.0003739
00134798.jpg,-0.0005942,-0.0003739
00134809.jpg,-0.0005942,-0.0003739
00134820.jpg,-0.0005942,-0.0003739
00134831.jpg,-0.0005942,-0.0003739
00134842.jpg,-0.0005942,-0.0003739
00134853.jpg,-0.0005942,-0.0003739
00134864.jpg,-0.0005942,-0.0003739
00134875.jpg,-0.0005942,-0.0003739
00134886.jpg,-0.0005942,-0.0003739
00134897.jpg,-0.0005942,-0.0003739
00134908.jpg,-0.0005942,-0.0003739
00134919.jpg,-0.0005942,-0.0003739
00134930.jpg,-0.0005942,-0.0003739
00134941.jpg,-0.0005942,-0.0003739
00134952.jpg,-0.0005942,-0.0003739
00134963.jpg,-0.0005942,-0.0003739
00134974.jpg,-0.0005942,-0.0003739
00134985.jpg,-0.0005942,-0.0003739
00134996.jpg,-0.0005942,-0.0003739
00135007.jpg,-0.0005942,-0.0003739
00135018.jpg,-0.0005942,-0.0003739
00135029.jpg,-0.0005942,-0.0003739
00135040.jpg,-0.0005942,-0.0003739
00135051.jpg,-0.0005942,-0.0003739
00135062.jpg,-0.0005942,-0.0003739
00135073.jpg,-0.0005942,-0.0003739
00135084.jpg,-0.0005942,-0.0003739
00135095.jpg,-0.0005942,-0.0003739
00135106.jpg,-0.0005942,-0.0003739
00135117.jpg,-0.0005942,-0.0003739
00135128.jpg,-0.0005942,-0.0003739
00135139.jpg,-0.0005801,-0.0003739
00135150.jpg,-0.0005391,-0.0003740
00135161.jpg,-0.0004695,-0.0003742
00135172.jpg,-0.0004385,-0.0003743
00135183.jpg,-0.0004135,-0.0003744
00135194.jpg,-0.0003615,-0.0003711
00135205.jpg,-0.0002987,-0.0003463
00135216.jpg,-0.0002660,-0.0002844
00135227.jpg,-0.0002580,-0.0002118
00135238.jpg,-0.0002544,-0.0001388
00135249.jpg,-0.0002534,-0.0000656
00135260.jpg,-0.0002533,0.0000076
00135271.jpg,-0.0002534,0.0000808
00135282.jpg,-0.0002536,0.0001539
00135293.jpg,-0.0002538,0.0002268
00135304.jpg,-0.0002540,0.0002994
00135315.jpg,-0.0002542,0.0003722
00135326.jpg,-0.0002544,0.0004453
00135337.jpg,-0.0002546,0.0005174
00135348.jpg,-0.0002548,0.0005901
00135359.jpg,-0.0002550,0.0006189
00135370.jpg,-0.0002550,0.0006189
00135381.jpg,-0.0002550,0.0006189
00135392.jpg,-0.0002550,0.0006189
00135403.jpg,-0.0002550,0.0006189
00135414.jpg,-0.0002550,0.0006189
00135425.jpg,-0.0002550,0.0006194
00135436.jpg,-0.0002550,0.0006384
00135447.jpg,-0.0002551,0.0006840
00135458.jpg,-0.0002554,0.0007516
00135469.jpg,-0.0002601,0.0008175
00135480.jpg,-0.0002637,0.0008277
00135491.jpg,-0.0002826,0.0008558
00135502.jpg,-0.0003385,0.0008808
00135513.jpg,-0.0004116,0.0008870
00135524.jpg,-0.0004845,0.0008886
00135535.jpg,-0.0005574,0.0008890
00135546.jpg,-0.0006298,0.0008882
00135557.jpg,-0.0006465,0.0008879
00135568.jpg,-0.0006651,0.0008875
00135579.jpg,-0.0007106,0.0008875
00135590.jpg,-0.0007821,0.0008873
00135601.jpg,-0.0008553,0.0008836
00135612.jpg,-0.0009178,0.0008754
00135623.jpg,-0.0009266,0.0008728
00135634.jpg,-0.0009600,0.0008613
00135645.jpg,-0.0010169,0.0008327
00135656.jpg,-0.0010766,0.0007896
00135667.jpg,-0.0011235,0.0007332
00135678.jpg,-0.0011544,0.0006668
00135689.jpg,-0.0011682,0.0005947
00135700.jpg,-0.0011725,0.0005214
00135711.jpg,-0.0011731,0.0004479
00135722.jpg,-0.0011729,0.0003744
00135733.jpg,-0.0011726,0.0003008
00135744.jpg,-0.0011722,0.0002273
00135755.jpg,-0.0011717,0.0001546
00135766.jpg,-0.0011707,0.0000811
00135777.jpg,-0.0011697,0.0000079
00135788.jpg,-0.0011695,-0.0000086
00135799.jpg,-0.0011695,-0.0000086
00135810.jpg,-0.0011695,-0.0000086
00135821.jpg,-0.0011695,-0.0000086
00135832.jpg,-0.0011695,-0.0000086
00135843.jpg,-0.0011695,-0.0000086
00135854.jpg,-0.0011695,-0.0000086
00135865.jpg,-0.0011695,-0.0000086
00135876.jpg,-0.0011695,-0.0000086
00135887.jpg,-0.0011695,-0.0000086
00135898.jpg,-0.0011695,-0.0000180
00135909.jpg,-0.0011693,-0.0000543
00135920.jpg,-0.0011690,-0.0001194
00135931.jpg,-0.0011687,-0.0001582
00135942.jpg,-0.0011686,-0.0001731
