filename,lat,long
00313168.jpg,-0.0011679,-0.0002004
00313179.jpg,-0.0011680,-0.0002205
00313190.jpg,-0.0011667,-0.0002546
00313201.jpg,-0.0011561,-0.0002969
00313212.jpg,-0.0011279,-0.0003372
00313223.jpg,-0.0010842,-0.0003625
00313234.jpg,-0.0010337,-0.0003697
00313245.jpg,-0.0009808,-0.0003718
00313256.jpg,-0.0009111,-0.0003727
00313267.jpg,-0.0008390,-0.0003731
00313278.jpg,-0.0007669,-0.0003734
00313289.jpg,-0.0006947,-0.0003736
00313300.jpg,-0.0006225,-0.0003738
00313311.jpg,-0.0005791,-0.0003739
00313322.jpg,-0.0005796,-0.0003739
00313333.jpg,-0.0005718,-0.0003739
00313344.jpg,-0.0005475,-0.0003740
00313355.jpg,-0.0005101,-0.0003741
00313366.jpg,-0.0004641,-0.0003743
00313377.jpg,-0.0004260,-0.0003744
00313388.jpg,-0.0004248,-0.0003744
00313399.jpg,-0.0004248,-0.0003744
00313410.jpg,-0.0004248,-0.0003744
00313421.jpg,-0.0004248,-0.0003744
00313432.jpg,-0.0004248,-0.0003744
00313443.jpg,-0.0004248,-0.0003744
00313454.jpg,-0.0004248,-0.0003744
00313465.jpg,-0.0004248,-0.0003744
00313476.jpg,-0.0004248,-0.0003744
00313487.jpg,-0.0004248,-0.0003744
00313498.jpg,-0.0004248,-0.0003744
00313509.jpg,-0.0004248,-0.0003744
00313520.jpg,-0.0004248,-0.0003744
00313531.jpg,-0.0004248,-0.0003744
00313542.jpg,-0.0004248,-0.0003744
00313553.jpg,-0.0004248,-0.0003744
00313564.jpg,-0.0004248,-0.0003744
00313575.jpg,-0.0004248,-0.0003744
00313586.jpg,-0.0004248,-0.0003744
00313597.jpg,-0.0004248,-0.0003744
00313608.jpg,-0.0004248,-0.0003744
00313619.jpg,-0.0004248,-0.0003744
00313630.jpg,-0.0004248,-0.0003744
00313641.jpg,-0.0004248,-0.0003744
00313652.jpg,-0.0004248,-0.0003744
00313663.jpg,-0.0004248,-0.0003744
00313674.jpg,-0.0004248,-0.0003744
