filename,lat,long
00343588.jpg,-0.0011679,-0.0002003
00343599.jpg,-0.0011680,-0.0002222
00343610.jpg,-0.0011656,-0.0002645
00343621.jpg,-0.0011413,-0.0003224
00343632.jpg,-0.0010855,-0.0003610
00343643.jpg,-0.0010156,-0.0003707
00343654.jpg,-0.0009437,-0.0003725
00343665.jpg,-0.0008724,-0.0003730
00343676.jpg,-0.0008015,-0.0003733
00343687.jpg,-0.0007311,-0.0003735
00343698.jpg,-0.0006601,-0.0003737
00343709.jpg,-0.0005891,-0.0003739
00343720.jpg,-0.0005686,-0.0003742
00343731.jpg,-0.0005686,-0.0003742
00343742.jpg,-0.0005686,-0.0003742
00343753.jpg,-0.0005686,-0.0003742
00343764.jpg,-0.0005686,-0.0003742
00343775.jpg,-0.0005686,-0.0003742
00343786.jpg,-0.0005686,-0.0003742
00343797.jpg,-0.0005686,-0.0003742
00343808.jpg,-0.0005686,-0.0003742
00343819.jpg,-0.0005686,-0.0003742
00343830.jpg,-0.0005686,-0.0003742
00343841.jpg,-0.0005686,-0.0003742
00343852.jpg,-0.0005686,-0.0003742
00343863.jpg,-0.0005686,-0.0003742
00343874.jpg,-0.0005686,-0.0003742
00343885.jpg,-0.0005686,-0.0003742
00343896.jpg,-0.0005686,-0.0003742
00343907.jpg,-0.0005686,-0.0003742
00343918.jpg,-0.0005686,-0.0003742
00343929.jpg,-0.0005686,-0.0003742
00343940.jpg,-0.0005686,-0.0003742
00343951.jpg,-0.0005686,-0.0003742
00343962.jpg,-0.0005686,-0.0003742
00343973.jpg,-0.0005686,-0.0003742
00343984.jpg,-0.0005686,-0.0003742
00343995.jpg,-0.0005686,-0.0003742
00344006.jpg,-0.0005686,-0.0003742
00344017.jpg,-0.0005648,-0.0003741
00344028.jpg,-0.0005439,-0.0003741
00344039.jpg,-0.0005025,-0.0003741
00344050.jpg,-0.0004398,-0.0003743
00344061.jpg,-0.0004314,-0.0003743
00344072.jpg,-0.0004313,-0.0003743
00344083.jpg,-0.0004205,-0.0003744
00344094.jpg,-0.0003911,-0.0003743
00344105.jpg,-0.0003401,-0.0003682
00344116.jpg,-0.0002838,-0.0003342
00344127.jpg,-0.0002572,-0.0002677
00344138.jpg,-0.0002535,-0.0001964
00344149.jpg,-0.0002530,-0.0001260
00344160.jpg,-0.0002531,-0.0000552
00344171.jpg,-0.0002532,0.0000167
00344182.jpg,-0.0002534,0.0000874
00344193.jpg,-0.0002536,0.0001578
00344204.jpg,-0.0002538,0.0002280
00344215.jpg,-0.0002540,0.0002980
00344226.jpg,-0.0002542,0.0003674
00344237.jpg,-0.0002544,0.0004377
00344248.jpg,-0.0002546,0.0005079
00344259.jpg,-0.0002548,0.0005783
00344270.jpg,-0.0002550,0.0006490
00344281.jpg,-0.0002553,0.0006904
00344292.jpg,-0.0002553,0.0006904
00344303.jpg,-0.0002553,0.0006904
00344314.jpg,-0.0002553,0.0006904
00344325.jpg,-0.0002553,0.0006904
00344336.jpg,-0.0002553,0.0006904
00344347.jpg,-0.0002553,0.0006904
00344358.jpg,-0.0002553,0.0006904
00344369.jpg,-0.0002553,0.0006904
00344380.jpg,-0.0002553,0.0006904
00344391.jpg,-0.0002553,0.0006904
00344402.jpg,-0.0002553,0.0006904
00344413.jpg,-0.0002553,0.0006904
00344424.jpg,-0.0002553,0.0006904
00344435.jpg,-0.0002553,0.0006941
00344446.jpg,-0.0002552,0.0007150
00344457.jpg,-0.0002554,0.0007563
00344468.jpg,-0.0002644,0.0008184
00344479.jpg,-0.0003020,0.0008710
00344490.jpg,-0.0003708,0.0008867
00344501.jpg,-0.0004419,0.0008890
00344512.jpg,-0.0005142,0.0008891
00344523.jpg,-0.0005813,0.0008887
00344534.jpg,-0.0006513,0.0008882
00344545.jpg,-0.0007229,0.0008877
00344556.jpg,-0.0007923,0.0008872
00344567.jpg,-0.0008636,0.0008831
00344578.jpg,-0.0009340,0.0008683
00344589.jpg,-0.0009996,0.0008424
00344600.jpg,-0.0010597,0.0008053
00344611.jpg,-0.0011103,0.0007546
00344622.jpg,-0.0011482,0.0006929
00344633.jpg,-0.0011677,0.0006248
00344644.jpg,-0.0011729,0.0005544
00344655.jpg,-0.0011735,0.0004832
00344666.jpg,-0.0011732,0.0004109
00344677.jpg,-0.0011729,0.0003399
00344688.jpg,-0.0011725,0.0002691
00344699.jpg,-0.0011721,0.0001983
00344710.jpg,-0.0011718,0.0001649
00344721.jpg,-0.0011718,0.0001570
00344732.jpg,-0.0011715,0.0001306
00344743.jpg,-0.0011707,0.0000827
00344754.jpg,-0.0011697,0.0000135
00344765.jpg,-0.0011694,-0.0000021
00344776.jpg,-0.0011695,-0.0000069
00344787.jpg,-0.0011694,-0.0000295
00344798.jpg,-0.0011692,-0.0000728
00344809.jpg,-0.0011688,-0.0001401
