filename,lat,long
00370614.jpg,-0.0011678,-0.0001976
00370625.jpg,-0.0011678,-0.0001976
00370636.jpg,-0.0011679,-0.0002056
00370647.jpg,-0.0011670,-0.0002460
00370658.jpg,-0.0011486,-0.0003062
00370669.jpg,-0.0011086,-0.0003485
00370680.jpg,-0.0010448,-0.0003667
00370691.jpg,-0.0009760,-0.0003711
00370702.jpg,-0.0009083,-0.0003724
00370713.jpg,-0.0008434,-0.0003730
00370724.jpg,-0.0007793,-0.0003733
00370735.jpg,-0.0007109,-0.0003735
00370746.jpg,-0.0006421,-0.0003737
00370757.jpg,-0.0005769,-0.0003739
00370768.jpg,-0.0005152,-0.0003741
00370779.jpg,-0.0005109,-0.0003742
00370790.jpg,-0.0005109,-0.0003742
00370801.jpg,-0.0005109,-0.0003742
00370812.jpg,-0.0005109,-0.0003742
00370823.jpg,-0.0005109,-0.0003742
00370834.jpg,-0.0005109,-0.0003742
00370845.jpg,-0.0005109,-0.0003742
00370856.jpg,-0.0005109,-0.0003742
00370867.jpg,-0.0005109,-0.0003742
00370878.jpg,-0.0005109,-0.0003742
00370889.jpg,-0.0005109,-0.0003742
00370900.jpg,-0.0005109,-0.0003742
00370911.jpg,-0.0005109,-0.0003742
00370922.jpg,-0.0005109,-0.0003742
00370933.jpg,-0.0005109,-0.0003742
00370944.jpg,-0.0005109,-0.0003742
00370955.jpg,-0.0005109,-0.0003742
00370966.jpg,-0.0005109,-0.0003742
00370977.jpg,-0.0005109,-0.0003742
00370988.jpg,-0.0005109,-0.0003742
00370999.jpg,-0.0005109,-0.0003742
00371010.jpg,-0.0005109,-0.0003742
00371021.jpg,-0.0005109,-0.0003742
00371032.jpg,-0.0005109,-0.0003742
00371043.jpg,-0.0005109,-0.0003742
00371054.jpg,-0.0005109,-0.0003742
00371065.jpg,-0.0005109,-0.0003742
00371076.jpg,-0.0005109,-0.0003742
00371087.jpg,-0.0005109,-0.0003742
00371098.jpg,-0.0005102,-0.0003742
00371109.jpg,-0.0004887,-0.0003742
00371120.jpg,-0.0004378,-0.0003743
00371131.jpg,-0.0003740,-0.0003729
00371142.jpg,-0.0003137,-0.0003527
00371153.jpg,-0.0002728,-0.0003129
00371164.jpg,-0.0002602,-0.0002467
00371175.jpg,-0.0002554,-0.0001777
00371186.jpg,-0.0002538,-0.0001114
00371197.jpg,-0.0002534,-0.0000471
00371208.jpg,-0.0002534,0.0000186
00371219.jpg,-0.0002535,0.0000877
00371230.jpg,-0.0002536,0.0001552
00371241.jpg,-0.0002538,0.0002200
00371252.jpg,-0.0002540,0.0002845
00371263.jpg,-0.0002542,0.0003528
00371274.jpg,-0.0002544,0.0004216
00371285.jpg,-0.0002545,0.0004870
00371296.jpg,-0.0002547,0.0005483
00371307.jpg,-0.0002549,0.0006166
00371318.jpg,-0.0002551,0.0006829
00371329.jpg,-0.0002554,0.0007428
00371340.jpg,-0.0002602,0.0008018
00371351.jpg,-0.0002908,0.0008582
00371362.jpg,-0.0003482,0.0008802
00371373.jpg,-0.0004115,0.0008868
00371384.jpg,-0.0004792,0.0008885
00371395.jpg,-0.0005473,0.0008891
00371406.jpg,-0.0006101,0.0008885
00371417.jpg,-0.0006723,0.0008880
00371428.jpg,-0.0007401,0.0008876
00371439.jpg,-0.0008088,0.0008868
00371450.jpg,-0.0008746,0.0008806
00371461.jpg,-0.0009369,0.0008674
00371472.jpg,-0.0009990,0.0008425
00371483.jpg,-0.0010573,0.0008059
00371494.jpg,-0.0011037,0.0007596
00371505.jpg,-0.0011397,0.0007067
00371516.jpg,-0.0011628,0.0006452
00371527.jpg,-0.0011702,0.0005767
00371538.jpg,-0.0011725,0.0005094
00371549.jpg,-0.0011730,0.0004446
00371560.jpg,-0.0011729,0.0003793
00371571.jpg,-0.0011726,0.0003108
00371582.jpg,-0.0011723,0.0002421
00371593.jpg,-0.0011720,0.0001789
00371604.jpg,-0.0011711,0.0001139
00371615.jpg,-0.0011701,0.0000449
00371626.jpg,-0.0011694,-0.0000231
00371637.jpg,-0.0011692,-0.0000395
00371648.jpg,-0.0011692,-0.0000698
00371659.jpg,-0.0011689,-0.0001223
00371670.jpg,-0.0011689,-0.0001245
00371681.jpg,-0.0011689,-0.0001245
00371692.jpg,-0.0011689,-0.0001245
00371703.jpg,-0.0011689,-0.0001245
00371714.jpg,-0.0011689,-0.0001245
00371725.jpg,-0.0011689,-0.0001245
00371736.jpg,-0.0011689,-0.0001245
00371747.jpg,-0.0011689,-0.0001245
00371758.jpg,-0.0011689,-0.0001245
00371769.jpg,-0.0011689,-0.0001245
00371780.jpg,-0.0011689,-0.0001245
00371791.jpg,-0.0011689,-0.0001245
00371802.jpg,-0.0011689,-0.0001245
00371813.jpg,-0.0011689,-0.0001245
00371824.jpg,-0.0011689,-0.0001245
00371835.jpg,-0.0011689,-0.0001245
00371846.jpg,-0.0011689,-0.0001245
00371857.jpg,-0.0011689,-0.0001351
00371868.jpg,-0.0011686,-0.0001764
