filename,lat,long
00084976.jpg,-0.0011679,-0.0001976
00084987.jpg,-0.0011679,-0.0001976
00084998.jpg,-0.0011679,-0.0001976
00085009.jpg,-0.0011679,-0.0001976
00085020.jpg,-0.0011679,-0.0001976
00085031.jpg,-0.0011679,-0.0001976
00085042.jpg,-0.0011679,-0.0001976
00085053.jpg,-0.0011679,-0.0001976
00085064.jpg,-0.0011679,-0.0001976
00085075.jpg,-0.0011679,-0.0001976
00085086.jpg,-0.0011679,-0.0001976
00085097.jpg,-0.0011679,-0.0001976
00085108.jpg,-0.0011679,-0.0001976
00085119.jpg,-0.0011679,-0.0001976
00085130.jpg,-0.0011678,-0.0001976
00085141.jpg,-0.0011679,-0.0002216
00085152.jpg,-0.0011604,-0.0002819
00085163.jpg,-0.0011298,-0.0003345
00085174.jpg,-0.0010708,-0.0003633
00085185.jpg,-0.0010064,-0.0003707
00085196.jpg,-0.0009409,-0.0003725
00085207.jpg,-0.0008770,-0.0003730
00085218.jpg,-0.0008103,-0.0003733
00085229.jpg,-0.0007462,-0.0003734
00085240.jpg,-0.0006806,-0.0003736
00085251.jpg,-0.0006121,-0.0003738
00085262.jpg,-0.0005468,-0.0003740
00085273.jpg,-0.0005304,-0.0003741
00085284.jpg,-0.0005298,-0.0003741
00085295.jpg,-0.0004953,-0.0003742
00085306.jpg,-0.0004532,-0.0003743
00085317.jpg,-0.0003981,-0.0003738
00085328.jpg,-0.0003519,-0.0003697
00085339.jpg,-0.0002971,-0.0003467
00085350.jpg,-0.0002632,-0.0002913
00085361.jpg,-0.0002552,-0.0002270
00085372.jpg,-0.0002534,-0.0001633
00085383.jpg,-0.0002529,-0.0000934
00085394.jpg,-0.0002531,-0.0000249
00085405.jpg,-0.0002533,0.0000439
00085416.jpg,-0.0002535,0.0001116
00085427.jpg,-0.0002537,0.0001744
00085438.jpg,-0.0002538,0.0002327
00085449.jpg,-0.0002540,0.0002951
00085460.jpg,-0.0002542,0.0003552
00085471.jpg,-0.0002543,0.0004188
00085482.jpg,-0.0002545,0.0004853
00085493.jpg,-0.0002546,0.0005070
00085504.jpg,-0.0002546,0.0005071
00085515.jpg,-0.0002546,0.0005071
00085526.jpg,-0.0002546,0.0005071
00085537.jpg,-0.0002546,0.0005071
00085548.jpg,-0.0002546,0.0005071
00085559.jpg,-0.0002546,0.0005071
00085570.jpg,-0.0002546,0.0005071
00085581.jpg,-0.0002546,0.0005071
00085592.jpg,-0.0002546,0.0005071
00085603.jpg,-0.0002546,0.0005077
00085614.jpg,-0.0002546,0.0005166
00085625.jpg,-0.0002547,0.0005350
00085636.jpg,-0.0002548,0.0005674
00085647.jpg,-0.0002549,0.0006107
00085658.jpg,-0.0002550,0.0006572
00085669.jpg,-0.0002551,0.0006996
00085680.jpg,-0.0002554,0.0007583
00085691.jpg,-0.0002638,0.0008150
00085702.jpg,-0.0002961,0.0008655
00085713.jpg,-0.0003583,0.0008864
00085724.jpg,-0.0004220,0.0008887
00085735.jpg,-0.0004869,0.0008891
00085746.jpg,-0.0005416,0.0008889
00085757.jpg,-0.0005987,0.0008885
00085768.jpg,-0.0006638,0.0008881
00085779.jpg,-0.0007317,0.0008876
00085790.jpg,-0.0007681,0.0008874
00085801.jpg,-0.0008277,0.0008860
00085812.jpg,-0.0008947,0.0008786
00085823.jpg,-0.0009561,0.0008620
00085834.jpg,-0.0010151,0.0008339
00085845.jpg,-0.0010690,0.0007969
00085856.jpg,-0.0011144,0.0007507
00085867.jpg,-0.0011477,0.0006948
00085878.jpg,-0.0011660,0.0006335
00085889.jpg,-0.0011723,0.0005669
00085900.jpg,-0.0011734,0.0005050
00085911.jpg,-0.0011734,0.0004420
00085922.jpg,-0.0011731,0.0003776
00085933.jpg,-0.0011727,0.0003079
00085944.jpg,-0.0011723,0.0002402
00085955.jpg,-0.0011720,0.0001832
00085966.jpg,-0.0011714,0.0001263
00085977.jpg,-0.0011703,0.0000578
00085988.jpg,-0.0011697,0.0000072
00085999.jpg,-0.0011697,0.0000039
00086010.jpg,-0.0011697,0.0000039
00086021.jpg,-0.0011697,0.0000039
00086032.jpg,-0.0011697,0.0000039
00086043.jpg,-0.0011697,0.0000039
00086054.jpg,-0.0011697,0.0000039
00086065.jpg,-0.0011696,-0.0000096
00086076.jpg,-0.0011693,-0.0000633
00086087.jpg,-0.0011692,-0.0000866
00086098.jpg,-0.0011689,-0.0001281
00086109.jpg,-0.0011687,-0.0001700
