filename,lat,long
00004602.jpg,-0.0011678,-0.0001976
00004613.jpg,-0.0011678,-0.0001976
00004624.jpg,-0.0011678,-0.0001979
00004635.jpg,-0.0011680,-0.0002143
00004646.jpg,-0.0011669,-0.0002515
00004657.jpg,-0.0011509,-0.0003064
00004668.jpg,-0.0011022,-0.0003522
00004679.jpg,-0.0010316,-0.0003663
00004690.jpg,-0.0009599,-0.0003711
00004701.jpg,-0.0008874,-0.0003726
00004712.jpg,-0.0008161,-0.0003731
00004723.jpg,-0.0007438,-0.0003734
00004734.jpg,-0.0006720,-0.0003736
00004745.jpg,-0.0006004,-0.0003739
00004756.jpg,-0.0005280,-0.0003741
00004767.jpg,-0.0004575,-0.0003743
00004778.jpg,-0.0004192,-0.0003744
00004789.jpg,-0.0004192,-0.0003744
00004800.jpg,-0.0004192,-0.0003744
00004811.jpg,-0.0004192,-0.0003744
00004822.jpg,-0.0004192,-0.0003744
00004833.jpg,-0.0004192,-0.0003744
00004844.jpg,-0.0004192,-0.0003744
00004855.jpg,-0.0004192,-0.0003744
00004866.jpg,-0.0004192,-0.0003744
00004877.jpg,-0.0004192,-0.0003744
00004888.jpg,-0.0004192,-0.0003744
00004899.jpg,-0.0004192,-0.0003744
00004910.jpg,-0.0004192,-0.0003744
00004921.jpg,-0.0004192,-0.0003744
00004932.jpg,-0.0004192,-0.0003744
00004943.jpg,-0.0004192,-0.0003744
00004954.jpg,-0.0004192,-0.0003744
00004965.jpg,-0.0004192,-0.0003744
00004976.jpg,-0.0004192,-0.0003744
00004987.jpg,-0.0004192,-0.0003744
00004998.jpg,-0.0004192,-0.0003744
00005009.jpg,-0.0004192,-0.0003744
00005020.jpg,-0.0004192,-0.0003744
00005031.jpg,-0.0004192,-0.0003744
00005042.jpg,-0.0004192,-0.0003744
00005053.jpg,-0.0004192,-0.0003744
00005064.jpg,-0.0004192,-0.0003744
00005075.jpg,-0.0004189,-0.0003744
00005086.jpg,-0.0004044,-0.0003744
00005097.jpg,-0.0003690,-0.0003731
00005108.jpg,-0.0003161,-0.0003572
00005119.jpg,-0.0002711,-0.0003080
00005130.jpg,-0.0002581,-0.0002363
00005141.jpg,-0.0002542,-0.0001649
00005152.jpg,-0.0002533,-0.0000925
00005163.jpg,-0.0002532,-0.0000207
00005174.jpg,-0.0002534,0.0000513
00005185.jpg,-0.0002535,0.0001235
00005196.jpg,-0.0002537,0.0001949
00005207.jpg,-0.0002539,0.0002659
00005218.jpg,-0.0002541,0.0003361
00005229.jpg,-0.0002543,0.0004087
00005240.jpg,-0.0002545,0.0004804
00005251.jpg,-0.0002547,0.0005494
00005262.jpg,-0.0002548,0.0005557
00005273.jpg,-0.0002548,0.0005557
00005284.jpg,-0.0002548,0.0005557
00005295.jpg,-0.0002548,0.0005557
00005306.jpg,-0.0002548,0.0005557
00005317.jpg,-0.0002548,0.0005557
00005328.jpg,-0.0002548,0.0005557
00005339.jpg,-0.0002548,0.0005557
00005350.jpg,-0.0002548,0.0005557
00005361.jpg,-0.0002548,0.0005557
00005372.jpg,-0.0002548,0.0005557
00005383.jpg,-0.0002548,0.0005557
00005394.jpg,-0.0002548,0.0005557
00005405.jpg,-0.0002548,0.0005557
00005416.jpg,-0.0002548,0.0005610
00005427.jpg,-0.0002548,0.0005873
00005438.jpg,-0.0002549,0.0006346
00005449.jpg,-0.0002551,0.0006990
00005460.jpg,-0.0002555,0.0007615
00005471.jpg,-0.0002574,0.0007918
00005482.jpg,-0.0002727,0.0008388
00005493.jpg,-0.0003280,0.0008764
00005504.jpg,-0.0004003,0.0008852
00005515.jpg,-0.0004720,0.0008879
00005526.jpg,-0.0005440,0.0008894
00005537.jpg,-0.0006162,0.0008883
00005548.jpg,-0.0006881,0.0008879
00005559.jpg,-0.0007603,0.0008874
00005570.jpg,-0.0008320,0.0008858
00005581.jpg,-0.0009035,0.0008750
00005592.jpg,-0.0009719,0.0008537
00005603.jpg,-0.0010352,0.0008203
00005614.jpg,-0.0010912,0.0007747
00005625.jpg,-0.0011341,0.0007177
00005636.jpg,-0.0011608,0.0006508
00005647.jpg,-0.0011695,0.0005791
00005658.jpg,-0.0011726,0.0005077
00005669.jpg,-0.0011731,0.0004352
00005680.jpg,-0.0011729,0.0003636
00005691.jpg,-0.0011726,0.0002912
00005702.jpg,-0.0011722,0.0002194
00005713.jpg,-0.0011716,0.0001471
00005724.jpg,-0.0011706,0.0000754
00005735.jpg,-0.0011698,0.0000045
00005746.jpg,-0.0011693,-0.0000665
00005757.jpg,-0.0011690,-0.0001116
00005768.jpg,-0.0011690,-0.0001116
00005779.jpg,-0.0011690,-0.0001116
00005790.jpg,-0.0011690,-0.0001116
00005801.jpg,-0.0011690,-0.0001116
00005812.jpg,-0.0011690,-0.0001116
00005823.jpg,-0.0011690,-0.0001116
00005834.jpg,-0.0011690,-0.0001116
00005845.jpg,-0.0011690,-0.0001116
00005856.jpg,-0.0011690,-0.0001116
00005867.jpg,-0.0011690,-0.0001206
00005878.jpg,-0.0011688,-0.0001505
00005889.jpg,-0.0011685,-0.0002012
