filename,lat,long
00165518.jpg,-0.0011678,-0.0001976
00165529.jpg,-0.0011678,-0.0001976
00165540.jpg,-0.0011678,-0.0001976
00165551.jpg,-0.0011678,-0.0001976
00165562.jpg,-0.0011679,-0.0002021
00165573.jpg,-0.0011680,-0.0002259
00165584.jpg,-0.0011641,-0.0002709
00165595.jpg,-0.0011347,-0.0003277
00165606.jpg,-0.0010755,-0.0003625
00165617.jpg,-0.0010039,-0.0003711
00165628.jpg,-0.0009317,-0.0003725
00165639.jpg,-0.0008587,-0.0003730
00165650.jpg,-0.0007864,-0.0003733
00165661.jpg,-0.0007141,-0.0003735
00165672.jpg,-0.0006410,-0.0003737
00165683.jpg,-0.0005693,-0.0003739
00165694.jpg,-0.0005126,-0.0003741
00165705.jpg,-0.0005130,-0.0003741
00165716.jpg,-0.0005130,-0.0003741
00165727.jpg,-0.0005130,-0.0003741
00165738.jpg,-0.0005130,-0.0003741
00165749.jpg,-0.0005130,-0.0003741
00165760.jpg,-0.0005130,-0.0003741
00165771.jpg,-0.0005130,-0.0003741
00165782.jpg,-0.0005130,-0.0003741
00165793.jpg,-0.0005130,-0.0003741
00165804.jpg,-0.0005130,-0.0003741
00165815.jpg,-0.0005130,-0.0003741
00165826.jpg,-0.0005130,-0.0003741
00165837.jpg,-0.0005130,-0.0003741
00165848.jpg,-0.0005130,-0.0003741
00165859.jpg,-0.0005130,-0.0003741
00165870.jpg,-0.0005130,-0.0003741
00165881.jpg,-0.0005130,-0.0003741
00165892.jpg,-0.0005130,-0.0003741
00165903.jpg,-0.0005130,-0.0003741
00165914.jpg,-0.0005130,-0.0003741
00165925.jpg,-0.0005130,-0.0003741
00165936.jpg,-0.0005130,-0.0003741
00165947.jpg,-0.0005130,-0.0003741
00165958.jpg,-0.0005130,-0.0003741
00165969.jpg,-0.0005130,-0.0003741
00165980.jpg,-0.0005130,-0.0003741
00165991.jpg,-0.0005130,-0.0003741
00166002.jpg,-0.0005130,-0.0003741
00166013.jpg,-0.0005130,-0.0003741
00166024.jpg,-0.0005130,-0.0003741
00166035.jpg,-0.0005076,-0.0003741
00166046.jpg,-0.0004836,-0.0003742
00166057.jpg,-0.0004380,-0.0003743
00166068.jpg,-0.0003736,-0.0003728
00166079.jpg,-0.0003099,-0.0003547
00166090.jpg,-0.0002651,-0.0003002
00166101.jpg,-0.0002558,-0.0002282
00166112.jpg,-0.0002537,-0.0001552
00166123.jpg,-0.0002532,-0.0000829
00166134.jpg,-0.0002532,-0.0000105
00166145.jpg,-0.0002534,0.0000625
00166156.jpg,-0.0002536,0.0001346
00166167.jpg,-0.0002538,0.0002073
00166178.jpg,-0.0002540,0.0002770
00166189.jpg,-0.0002541,0.0003460
00166200.jpg,-0.0002544,0.0004187
00166211.jpg,-0.0002545,0.0004911
00166222.jpg,-0.0002547,0.0005607
00166233.jpg,-0.0002550,0.0006329
00166244.jpg,-0.0002551,0.0006937
00166255.jpg,-0.0002551,0.0006941
00166266.jpg,-0.0002551,0.0006941
00166277.jpg,-0.0002551,0.0006941
00166288.jpg,-0.0002551,0.0006941
00166299.jpg,-0.0002551,0.0006941
00166310.jpg,-0.0002551,0.0006941
00166321.jpg,-0.0002551,0.0006941
00166332.jpg,-0.0002551,0.0006941
00166343.jpg,-0.0002551,0.0006941
00166354.jpg,-0.0002551,0.0006941
00166365.jpg,-0.0002551,0.0006941
00166376.jpg,-0.0002551,0.0006941
00166387.jpg,-0.0002551,0.0006941
00166398.jpg,-0.0002551,0.0006941
00166409.jpg,-0.0002551,0.0006941
00166420.jpg,-0.0002551,0.0006941
00166431.jpg,-0.0002551,0.0006941
00166442.jpg,-0.0002551,0.0006941
00166453.jpg,-0.0002551,0.0006941
00166464.jpg,-0.0002551,0.0006967
00166475.jpg,-0.0002552,0.0007151
00166486.jpg,-0.0002554,0.0007553
00166497.jpg,-0.0002634,0.0008149
00166508.jpg,-0.0003034,0.0008679
00166519.jpg,-0.0003735,0.0008853
00166530.jpg,-0.0004462,0.0008883
00166541.jpg,-0.0005183,0.0008892
00166552.jpg,-0.0005907,0.0008887
00166563.jpg,-0.0006627,0.0008881
00166574.jpg,-0.0007351,0.0008876
00166585.jpg,-0.0008078,0.0008868
00166596.jpg,-0.0008793,0.0008806
00166607.jpg,-0.0009486,0.0008632
00166618.jpg,-0.0010144,0.0008333
00166629.jpg,-0.0010736,0.0007925
00166640.jpg,-0.0011210,0.0007389
00166651.jpg,-0.0011542,0.0006745
00166662.jpg,-0.0011694,0.0006043
00166673.jpg,-0.0011729,0.0005322
00166684.jpg,-0.0011733,0.0004598
00166695.jpg,-0.0011731,0.0003882
00166706.jpg,-0.0011727,0.0003159
00166717.jpg,-0.0011723,0.0002436
00166728.jpg,-0.0011719,0.0001737
00166739.jpg,-0.0011710,0.0001027
00166750.jpg,-0.0011699,0.0000304
00166761.jpg,-0.0011695,-0.0000386
00166772.jpg,-0.0011692,-0.0000854
00166783.jpg,-0.0011692,-0.0000853
00166794.jpg,-0.0011692,-0.0000853
00166805.jpg,-0.0011691,-0.0000935
00166816.jpg,-0.0011690,-0.0001213
00166827.jpg,-0.0011687,-0.0001702
