filename,lat,long
01431825.jpg,-0.0011676,-0.0002491
01431836.jpg,-0.0011584,-0.0002914
01431847.jpg,-0.0011173,-0.0003448
01431858.jpg,-0.0010572,-0.0003679
01431869.jpg,-0.0009947,-0.0003852
01431880.jpg,-0.0009313,-0.0003997
01431891.jpg,-0.0008673,-0.000403
01431902.jpg,-0.0008019,-0.0004043
01431913.jpg,-0.0007378,-0.000405
01431924.jpg,-0.0006731,-0.0004051
01431935.jpg,-0.0006083,-0.0004053
01431946.jpg,-0.0005463,-0.0004055
01431957.jpg,-0.0005448,-0.0004055
01431968.jpg,-0.0005448,-0.0004055
01431979.jpg,-0.0005448,-0.0004055
01431990.jpg,-0.0005448,-0.0004055
01432001.jpg,-0.0005448,-0.0004055
01432012.jpg,-0.0005448,-0.0004055
01432023.jpg,-0.0005448,-0.0004055
01432034.jpg,-0.0005448,-0.0004055
01432045.jpg,-0.0005448,-0.0004055
01432056.jpg,-0.0005448,-0.0004055
01432067.jpg,-0.0005448,-0.0004055
01432078.jpg,-0.0005448,-0.0004055
01432089.jpg,-0.0005448,-0.0004055
01432100.jpg,-0.0005448,-0.0004055
01432111.jpg,-0.0005448,-0.0004055
01432122.jpg,-0.0005448,-0.0004055
01432133.jpg,-0.0005365,-0.0004055
01432144.jpg,-0.0004919,-0.0004046
01432155.jpg,-0.0004594,-0.0003923
01432166.jpg,-0.0004292,-0.0003819
01432177.jpg,-0.0003841,-0.0003766
01432188.jpg,-0.000319,-0.0003573
01432199.jpg,-0.0002716,-0.0003132
01432210.jpg,-0.0002564,-0.0002492
01432221.jpg,-0.0002536,-0.0001853
01432232.jpg,-0.0002531,-0.0001203
01432243.jpg,-0.0002531,-5.61e-05
01432254.jpg,-0.0002532,8.5e-06
01432265.jpg,-0.0002534,7.32e-05
01432276.jpg,-0.0002536,0.0001373
01432287.jpg,-0.0002538,0.0002024
01432298.jpg,-0.0002539,0.0002663
01432309.jpg,-0.0002541,0.0003298
01432320.jpg,-0.0002543,0.0003944
01432331.jpg,-0.0002545,0.000459
01432342.jpg,-0.0002547,0.000523
01432353.jpg,-0.0002549,0.0005701
01432364.jpg,-0.0002549,0.0005699
01432375.jpg,-0.0002549,0.0005699
01432386.jpg,-0.0002549,0.0005699
01432397.jpg,-0.0002549,0.0005699
01432408.jpg,-0.0002549,0.0005699
01432419.jpg,-0.0002549,0.0005699
01432430.jpg,-0.0002549,0.0005699
01432441.jpg,-0.0002549,0.0005833
01432452.jpg,-0.000255,0.0006356
01432463.jpg,-0.0002551,0.000703
01432474.jpg,-0.0002561,0.0007627
01432485.jpg,-0.0002567,0.0007822
01432496.jpg,-0.0002616,0.000813
01432507.jpg,-0.0002865,0.0008699
01432518.jpg,-0.0003351,0.0009078
01432529.jpg,-0.0003982,0.0009183
01432540.jpg,-0.000447,0.0009272
01432551.jpg,-0.000485,0.000923
01432562.jpg,-0.000547,0.0009211
01432573.jpg,-0.000609,0.0009202
01432584.jpg,-0.0006745,0.0009196
01432595.jpg,-0.0007378,0.000913
01432606.jpg,-0.0008014,0.0008979
01432617.jpg,-0.0008647,0.0008858
01432628.jpg,-0.0009276,0.0008709
01432639.jpg,-0.0009886,0.0008485
01432650.jpg,-0.0010439,0.000816
01432661.jpg,-0.0010938,0.0007736
01432672.jpg,-0.0011324,0.0007225
01432683.jpg,-0.0011586,0.0006629
01432694.jpg,-0.0011706,0.0005995
01432705.jpg,-0.0011727,0.000535
01432716.jpg,-0.0011732,0.0004698
01432727.jpg,-0.0011732,0.0004056
01432738.jpg,-0.0011729,0.0003401
01432749.jpg,-0.0011726,0.000276
01432760.jpg,-0.0011722,0.0002107
01432771.jpg,-0.0011717,0.0001465
01432782.jpg,-0.0011707,8.14e-05
01432793.jpg,-0.0011737,1.75e-05
01432804.jpg,-0.001187,-4.64e-05
01432815.jpg,-0.0011975,-9.93e-05
01432826.jpg,-0.0011997,-0.0001089
01432837.jpg,-0.0011997,-0.0001089
01432848.jpg,-0.0011997,-0.0001089
01432859.jpg,-0.0011997,-0.0001089
01432870.jpg,-0.0011997,-0.0001089
01432881.jpg,-0.0011997,-0.0001089
01432892.jpg,-0.0011997,-0.0001089
01432903.jpg,-0.0011995,-0.0001135
01432914.jpg,-0.0011994,-0.0001517
01111608.jpg,-0.0011678,-0.0002425
01111619.jpg,-0.0011674,-0.0002537
01111630.jpg,-0.0011646,-0.000274
01111641.jpg,-0.0011548,-0.0003028
01111652.jpg,-0.0011241,-0.0003415
01111663.jpg,-0.001065,-0.0003667
01111674.jpg,-0.0010028,-0.0003834
01111685.jpg,-0.0009404,-0.0003983
01111696.jpg,-0.0008763,-0.0004031
01111707.jpg,-0.0008121,-0.0004042
01111718.jpg,-0.0007478,-0.0004049
01111729.jpg,-0.000686,-0.0004051
01111740.jpg,-0.0006222,-0.0004053
01111751.jpg,-0.0005579,-0.0004054
01111762.jpg,-0.0005003,-0.0004056
01111773.jpg,-0.0004912,-0.0004056
01111784.jpg,-0.0004912,-0.0004056
01111795.jpg,-0.0004912,-0.0004056
01111806.jpg,-0.0004912,-0.0004056
01111817.jpg,-0.0004912,-0.0004056
01111828.jpg,-0.0004912,-0.0004056
01111839.jpg,-0.0004912,-0.0004056
01111850.jpg,-0.0004895,-0.0004056
01111861.jpg,-0.0004771,-0.0004037
01111872.jpg,-0.0004585,-0.0003943
01111883.jpg,-0.0004302,-0.0003832
01111894.jpg,-0.0003813,-0.0003764
01111905.jpg,-0.0003172,-0.0003583
01111916.jpg,-0.0002702,-0.0003139
01111927.jpg,-0.0002564,-0.0002511
01111938.jpg,-0.0002536,-0.0001869
01111949.jpg,-0.0002531,-0.0001227
01111960.jpg,-0.0002531,-5.84e-05
01111971.jpg,-0.0002532,5.8e-06
01111982.jpg,-0.0002534,7e-05
01111993.jpg,-0.0002536,0.0001343
01112004.jpg,-0.0002537,0.0001985
01112015.jpg,-0.0002539,0.0002627
01112026.jpg,-0.0002541,0.0003257
01112037.jpg,-0.0002542,0.0003885
01112048.jpg,-0.0002544,0.0004494
01112059.jpg,-0.0002546,0.0005061
01112070.jpg,-0.0002546,0.0005255
01112081.jpg,-0.0002547,0.0005479
01112092.jpg,-0.0002548,0.0005832
01112103.jpg,-0.0002549,0.0006007
01112114.jpg,-0.0002549,0.0006007
01112125.jpg,-0.0002549,0.0006007
01112136.jpg,-0.0002549,0.0006007
01112147.jpg,-0.0002549,0.0006007
01112158.jpg,-0.0002549,0.0006007
01112169.jpg,-0.0002549,0.0006007
01112180.jpg,-0.0002549,0.0006007
01112191.jpg,-0.0002549,0.0006007
01112202.jpg,-0.0002549,0.0006007
01112213.jpg,-0.0002549,0.0006007
01112224.jpg,-0.0002549,0.0006007
01112235.jpg,-0.0002549,0.0006007
01112246.jpg,-0.0002549,0.0006007
01112257.jpg,-0.0002549,0.0006007
01112268.jpg,-0.0002549,0.0006007
01112279.jpg,-0.0002549,0.0006007
01112290.jpg,-0.0002549,0.0006007
01112301.jpg,-0.0002549,0.0006007
01112312.jpg,-0.0002549,0.0006007
01112323.jpg,-0.0002549,0.0006007
01112334.jpg,-0.0002549,0.0006007
01112345.jpg,-0.0002549,0.0006007
01112356.jpg,-0.0002549,0.0006007
01112367.jpg,-0.0002549,0.0006007
01112378.jpg,-0.0002549,0.0006007
01112389.jpg,-0.0002549,0.0006007
01112400.jpg,-0.0002549,0.0006007
01112411.jpg,-0.0002549,0.0006007
01112422.jpg,-0.0002549,0.0006007
01112433.jpg,-0.0002549,0.0006007
01112444.jpg,-0.0002549,0.000601
01112455.jpg,-0.0002549,0.0006107
01112466.jpg,-0.0002549,0.0006294
01112477.jpg,-0.000255,0.000656
01112488.jpg,-0.0002551,0.0007001
01112499.jpg,-0.0002566,0.0007648
01112510.jpg,-0.0002672,0.0008298
01112521.jpg,-0.0003019,0.0008868
01112532.jpg,-0.000357,0.0009153
01112543.jpg,-0.0004199,0.0009223
01112554.jpg,-0.0004809,0.0009219
01112565.jpg,-0.0005448,0.0009207
01112576.jpg,-0.000609,0.00092
01112587.jpg,-0.0006732,0.0009195
01112598.jpg,-0.000737,0.0009128
01112609.jpg,-0.0007995,0.0008981
01112620.jpg,-0.0008626,0.000886
01112631.jpg,-0.0009252,0.0008717
01112642.jpg,-0.0009855,0.0008496
01112653.jpg,-0.0010416,0.0008182
01112664.jpg,-0.0010907,0.0007769
01112675.jpg,-0.0011306,0.0007265
01112686.jpg,-0.0011571,0.0006679
01112697.jpg,-0.0011695,0.0006047
01112708.jpg,-0.0011727,0.0005405
01112719.jpg,-0.0011732,0.0004763
01112730.jpg,-0.0011732,0.0004121
01112741.jpg,-0.0011729,0.0003478
01112752.jpg,-0.0011725,0.0002836
01112763.jpg,-0.0011722,0.0002194
01112774.jpg,-0.0011718,0.0001573
01112785.jpg,-0.0011708,9.36e-05
01112796.jpg,-0.0011711,2.95e-05
01112807.jpg,-0.0011844,-3.36e-05
01112818.jpg,-0.0011963,-9.58e-05
01112829.jpg,-0.0012,-0.0001163
01112840.jpg,-0.0012,-0.0001163
01112851.jpg,-0.0012,-0.0001163
01112862.jpg,-0.0012,-0.0001163
01112873.jpg,-0.0012,-0.0001163
01112884.jpg,-0.0012,-0.0001163
01112895.jpg,-0.0012,-0.0001163
01112906.jpg,-0.0011999,-0.0001216
01112917.jpg,-0.0011998,-0.0001378
01112928.jpg,-0.0011998,-0.0001608
01112939.jpg,-0.0012,-0.0001977
00975166.jpg,-0.0011936,-0.0002029
00975177.jpg,-0.0011725,-0.0002444
00975188.jpg,-0.0011506,-0.0003066
00975199.jpg,-0.0011041,-0.0003517
00975210.jpg,-0.001055,-0.0003686
00975221.jpg,-0.0009941,-0.0003854
00975232.jpg,-0.0009321,-0.0003989
00975243.jpg,-0.0008695,-0.000403
00975254.jpg,-0.0008115,-0.0004041
00975265.jpg,-0.0007514,-0.0004048
00975276.jpg,-0.0006887,-0.0004051
00975287.jpg,-0.0006237,-0.0004052
00975298.jpg,-0.0005648,-0.0004054
00975309.jpg,-0.0005058,-0.0004056
00975320.jpg,-0.0004437,-0.000387
00975331.jpg,-0.0003796,-0.0003769
00975342.jpg,-0.0003169,-0.0003572
00975353.jpg,-0.0002722,-0.0003139
00975364.jpg,-0.0002582,-0.0002542
00975375.jpg,-0.0002545,-0.0001949
00975386.jpg,-0.0002534,-0.0001323
00975397.jpg,-0.0002532,-6.93e-05
00975408.jpg,-0.0002532,-9.1e-06
00975419.jpg,-0.0002533,5.14e-05
00975430.jpg,-0.0002535,0.0001121
00975441.jpg,-0.0002537,0.0001748
00975452.jpg,-0.0002539,0.0002399
00975463.jpg,-0.000254,0.0003002
00975474.jpg,-0.0002542,0.0003521
00975485.jpg,-0.0002543,0.0004142
00975496.jpg,-0.0002545,0.0004778
00975507.jpg,-0.0002547,0.0005391
00975518.jpg,-0.0002548,0.0005995
00975529.jpg,-0.000255,0.0006602
00975540.jpg,-0.0002551,0.0007089
00975551.jpg,-0.0002551,0.0007091
00975562.jpg,-0.0002551,0.0007091
00975573.jpg,-0.0002551,0.0007091
00975584.jpg,-0.0002551,0.0007091
00975595.jpg,-0.0002551,0.0007091
00975606.jpg,-0.0002551,0.0007091
00975617.jpg,-0.0002551,0.0007091
00975628.jpg,-0.0002551,0.0007091
00975639.jpg,-0.0002551,0.0007091
00975650.jpg,-0.0002551,0.0007091
00975661.jpg,-0.0002551,0.0007091
00975672.jpg,-0.0002551,0.0007091
00975683.jpg,-0.0002551,0.0007091
00975694.jpg,-0.0002551,0.0007091
00975705.jpg,-0.0002551,0.0007091
00975716.jpg,-0.0002551,0.0007091
