filename,lat,long
00405207.jpg,-0.0011678,-0.0002425
00405218.jpg,-0.0011660,-0.0002625
00405229.jpg,-0.0011429,-0.0003204
00405240.jpg,-0.0010973,-0.0003568
00405251.jpg,-0.0010412,-0.0003731
00405262.jpg,-0.0009841,-0.0003885
00405273.jpg,-0.0009260,-0.0003997
00405284.jpg,-0.0008704,-0.0004033
00405295.jpg,-0.0008130,-0.0004044
00405306.jpg,-0.0007547,-0.0004048
00405317.jpg,-0.0007021,-0.0004050
00405328.jpg,-0.0006444,-0.0004053
00405339.jpg,-0.0005861,-0.0004054
00405350.jpg,-0.0005327,-0.0004055
00405361.jpg,-0.0005324,-0.0004055
00405372.jpg,-0.0005324,-0.0004055
00405383.jpg,-0.0005324,-0.0004055
00405394.jpg,-0.0005324,-0.0004055
00405405.jpg,-0.0005324,-0.0004055
00405416.jpg,-0.0005324,-0.0004055
00405427.jpg,-0.0005324,-0.0004055
00405438.jpg,-0.0005277,-0.0004055
00405449.jpg,-0.0004843,-0.0004026
00405460.jpg,-0.0004489,-0.0003895
00405471.jpg,-0.0003910,-0.0003781
00405482.jpg,-0.0003357,-0.0003667
00405493.jpg,-0.0002852,-0.0003345
00405504.jpg,-0.0002607,-0.0002850
00405515.jpg,-0.0002546,-0.0002275
00405526.jpg,-0.0002532,-0.0001717
00405537.jpg,-0.0002528,-0.0001136
00405548.jpg,-0.0002531,-0.0000556
00405559.jpg,-0.0002532,0.0000008
00405570.jpg,-0.0002533,0.0000595
00405581.jpg,-0.0002535,0.0001145
00405592.jpg,-0.0002537,0.0001710
00405603.jpg,-0.0002538,0.0002295
00405614.jpg,-0.0002540,0.0002840
00405625.jpg,-0.0002541,0.0003400
00405636.jpg,-0.0002543,0.0003965
00405647.jpg,-0.0002544,0.0004550
00405658.jpg,-0.0002546,0.0005094
00405669.jpg,-0.0002548,0.0005670
00405680.jpg,-0.0002548,0.0005983
00405691.jpg,-0.0002548,0.0005983
00405702.jpg,-0.0002548,0.0005983
00405713.jpg,-0.0002548,0.0005983
00405724.jpg,-0.0002548,0.0005983
00405735.jpg,-0.0002548,0.0005983
00405746.jpg,-0.0002549,0.0006083
00405757.jpg,-0.0002550,0.0006650
00405768.jpg,-0.0002552,0.0007233
00405779.jpg,-0.0002572,0.0007814
00405790.jpg,-0.0002716,0.0008422
00405801.jpg,-0.0003035,0.0008899
00405812.jpg,-0.0003562,0.0009144
00405823.jpg,-0.0004129,0.0009212
00405834.jpg,-0.0004538,0.0009216
00405845.jpg,-0.0005139,0.0009208
00405856.jpg,-0.0005722,0.0009203
00405867.jpg,-0.0006349,0.0009198
00405878.jpg,-0.0006913,0.0009194
00405889.jpg,-0.0007494,0.0009099
00405900.jpg,-0.0007570,0.0009086
00405911.jpg,-0.0007831,0.0009021
00405922.jpg,-0.0008403,0.0008900
00405933.jpg,-0.0008989,0.0008786
00405944.jpg,-0.0009567,0.0008609
00405955.jpg,-0.0010067,0.0008380
00405966.jpg,-0.0010484,0.0008133
00405977.jpg,-0.0010921,0.0007753
00405988.jpg,-0.0011251,0.0007335
00405999.jpg,-0.0011502,0.0006878
00406010.jpg,-0.0011658,0.0006317
00406021.jpg,-0.0011710,0.0005746
00406032.jpg,-0.0011726,0.0005303
00406043.jpg,-0.0011732,0.0004714
00406054.jpg,-0.0011731,0.0004139
00406065.jpg,-0.0011729,0.0003573
00406076.jpg,-0.0011726,0.0002995
00406087.jpg,-0.0011724,0.0002557
00406098.jpg,-0.0011721,0.0001970
00406109.jpg,-0.0011717,0.0001493
00406120.jpg,-0.0011708,0.0000904
00406131.jpg,-0.0011704,0.0000316
00406142.jpg,-0.0011815,-0.0000240
00406153.jpg,-0.0011927,-0.0000772
00406164.jpg,-0.0011953,-0.0000923
00406175.jpg,-0.0011953,-0.0000923
00406186.jpg,-0.0011953,-0.0000923
00406197.jpg,-0.0011968,-0.0001057
00406208.jpg,-0.0011987,-0.0001513
00406219.jpg,-0.0012001,-0.0002072
