filename,lat,long
00684039.jpg,-0.0011676,-0.0002475
00684050.jpg,-0.0011631,-0.0002773
00684061.jpg,-0.0011427,-0.0003196
00684072.jpg,-0.0010960,-0.0003545
00684083.jpg,-0.0010346,-0.0003725
00684094.jpg,-0.0009734,-0.0003903
00684105.jpg,-0.0009108,-0.0004008
00684116.jpg,-0.0008472,-0.0004033
00684127.jpg,-0.0007835,-0.0004043
00684138.jpg,-0.0007203,-0.0004048
00684149.jpg,-0.0006571,-0.0004051
00684160.jpg,-0.0005930,-0.0004053
00684171.jpg,-0.0005291,-0.0004055
00684182.jpg,-0.0004715,-0.0004057
00684193.jpg,-0.0004604,-0.0004055
00684204.jpg,-0.0004604,-0.0004055
00684215.jpg,-0.0004604,-0.0004055
00684226.jpg,-0.0004604,-0.0004055
00684237.jpg,-0.0004604,-0.0004055
00684248.jpg,-0.0004604,-0.0004055
00684259.jpg,-0.0004604,-0.0004055
00684270.jpg,-0.0004604,-0.0004055
00684281.jpg,-0.0004604,-0.0004055
00684292.jpg,-0.0004604,-0.0004055
00684303.jpg,-0.0004604,-0.0004055
00684314.jpg,-0.0004604,-0.0004055
00684325.jpg,-0.0004604,-0.0004055
00684336.jpg,-0.0004604,-0.0004055
00684347.jpg,-0.0004604,-0.0004055
00684358.jpg,-0.0004580,-0.0004031
00684369.jpg,-0.0004399,-0.0003894
00684380.jpg,-0.0004002,-0.0003797
00684391.jpg,-0.0003467,-0.0003704
00684402.jpg,-0.0002926,-0.0003357
00684413.jpg,-0.0002652,-0.0002787
00684424.jpg,-0.0002559,-0.0002146
00684435.jpg,-0.0002538,-0.0001499
00684446.jpg,-0.0002533,-0.0000855
00684457.jpg,-0.0002532,-0.0000210
00684468.jpg,-0.0002533,0.0000437
00684479.jpg,-0.0002535,0.0001084
00684490.jpg,-0.0002537,0.0001729
00684501.jpg,-0.0002538,0.0002375
00684512.jpg,-0.0002540,0.0003020
00684523.jpg,-0.0002542,0.0003654
00684534.jpg,-0.0002544,0.0004298
00684545.jpg,-0.0002546,0.0004942
00684556.jpg,-0.0002547,0.0005589
00684567.jpg,-0.0002549,0.0006235
00684578.jpg,-0.0002551,0.0006898
00684589.jpg,-0.0002560,0.0007571
00684600.jpg,-0.0002668,0.0008234
00684611.jpg,-0.0002997,0.0008815
00684622.jpg,-0.0003558,0.0009106
00684633.jpg,-0.0004191,0.0009222
00684644.jpg,-0.0004757,0.0009204
00684655.jpg,-0.0005342,0.0009202
00684666.jpg,-0.0005849,0.0009200
00684677.jpg,-0.0006238,0.0009198
00684688.jpg,-0.0006777,0.0009194
00684699.jpg,-0.0007396,0.0009110
00684710.jpg,-0.0007943,0.0008985
00684721.jpg,-0.0008370,0.0008903
00684732.jpg,-0.0008784,0.0008831
00684743.jpg,-0.0009322,0.0008696
00684754.jpg,-0.0009917,0.0008459
00684765.jpg,-0.0010455,0.0008148
00684776.jpg,-0.0010820,0.0007849
00684787.jpg,-0.0011196,0.0007405
00684798.jpg,-0.0011470,0.0006845
00684809.jpg,-0.0011621,0.0006439
00684820.jpg,-0.0011697,0.0005931
00684831.jpg,-0.0011725,0.0005305
00684842.jpg,-0.0011731,0.0004659
00684853.jpg,-0.0011731,0.0004195
00684864.jpg,-0.0011730,0.0003693
00684875.jpg,-0.0011727,0.0003073
00684886.jpg,-0.0011723,0.0002437
00684897.jpg,-0.0011720,0.0001822
00684908.jpg,-0.0011716,0.0001439
00684919.jpg,-0.0011709,0.0000946
00684930.jpg,-0.0011703,0.0000327
00684941.jpg,-0.0011837,-0.0000277
00684952.jpg,-0.0011947,-0.0000857
00684963.jpg,-0.0012008,-0.0001252
00684974.jpg,-0.0012025,-0.0001358
00684985.jpg,-0.0012025,-0.0001357
00684996.jpg,-0.0012025,-0.0001357
00685007.jpg,-0.0012025,-0.0001357
00685018.jpg,-0.0012025,-0.0001357
00685029.jpg,-0.0012025,-0.0001357
00685040.jpg,-0.0012025,-0.0001357
00685051.jpg,-0.0012025,-0.0001357
00685062.jpg,-0.0012025,-0.0001357
00685073.jpg,-0.0012025,-0.0001357
00685084.jpg,-0.0012025,-0.0001357
00685095.jpg,-0.0012025,-0.0001357
00685106.jpg,-0.0012025,-0.0001357
00685117.jpg,-0.0012025,-0.0001357
00685128.jpg,-0.0012008,-0.0001448
