filename,lat,long
01719556.jpg,-0.0011669,-0.0002561
01719567.jpg,-0.0011466,-0.0003130
01719578.jpg,-0.0010964,-0.0003563
01719589.jpg,-0.0010331,-0.0003749
01719600.jpg,-0.0009700,-0.0003921
01719611.jpg,-0.0009056,-0.0004016
01719622.jpg,-0.0008405,-0.0004038
01719633.jpg,-0.0007752,-0.0004046
01719644.jpg,-0.0007121,-0.0004050
01719655.jpg,-0.0006463,-0.0004052
01719666.jpg,-0.0005812,-0.0004054
01719677.jpg,-0.0005162,-0.0004055
01719688.jpg,-0.0004516,-0.0003902
01719699.jpg,-0.0004023,-0.0003746
01719710.jpg,-0.0003940,-0.0003721
01719721.jpg,-0.0003940,-0.0003721
01719732.jpg,-0.0003940,-0.0003721
01719743.jpg,-0.0003940,-0.0003721
01719754.jpg,-0.0003940,-0.0003721
01719765.jpg,-0.0003940,-0.0003721
01719776.jpg,-0.0003940,-0.0003721
01719787.jpg,-0.0003940,-0.0003721
01719798.jpg,-0.0003940,-0.0003721
01719809.jpg,-0.0003940,-0.0003721
01719820.jpg,-0.0003940,-0.0003721
01719831.jpg,-0.0003940,-0.0003721
01719842.jpg,-0.0003940,-0.0003721
01719853.jpg,-0.0003940,-0.0003721
01719864.jpg,-0.0003940,-0.0003721
01719875.jpg,-0.0003940,-0.0003721
01719886.jpg,-0.0003940,-0.0003721
01719897.jpg,-0.0003940,-0.0003721
01719908.jpg,-0.0003940,-0.0003721
01719919.jpg,-0.0003940,-0.0003721
01719930.jpg,-0.0003940,-0.0003721
01719941.jpg,-0.0003940,-0.0003721
01719952.jpg,-0.0003940,-0.0003721
01719963.jpg,-0.0003940,-0.0003721
01719974.jpg,-0.0003940,-0.0003721
01719985.jpg,-0.0003940,-0.0003721
01719996.jpg,-0.0003940,-0.0003721
01720007.jpg,-0.0003940,-0.0003721
01720018.jpg,-0.0003940,-0.0003721
01720029.jpg,-0.0003940,-0.0003721
01720040.jpg,-0.0003940,-0.0003721
01720051.jpg,-0.0003850,-0.0003725
01720062.jpg,-0.0003332,-0.0003641
01720073.jpg,-0.0002788,-0.0003247
01720084.jpg,-0.0002582,-0.0002620
01720095.jpg,-0.0002540,-0.0001968
01720106.jpg,-0.0002532,-0.0001314
01720117.jpg,-0.0002531,-0.0000660
01720128.jpg,-0.0002532,-0.0000007
01720139.jpg,-0.0002534,0.0000648
01720150.jpg,-0.0002535,0.0001300
01720161.jpg,-0.0002537,0.0001951
01720172.jpg,-0.0002539,0.0002602
01720183.jpg,-0.0002541,0.0003253
01720194.jpg,-0.0002543,0.0003907
01720205.jpg,-0.0002545,0.0004560
01720216.jpg,-0.0002546,0.0005210
01720227.jpg,-0.0002548,0.0005857
01720238.jpg,-0.0002549,0.0006197
01720249.jpg,-0.0002549,0.0006206
01720260.jpg,-0.0002549,0.0006206
01720271.jpg,-0.0002549,0.0006206
01720282.jpg,-0.0002549,0.0006206
01720293.jpg,-0.0002549,0.0006206
01720304.jpg,-0.0002549,0.0006206
01720315.jpg,-0.0002549,0.0006206
01720326.jpg,-0.0002549,0.0006206
01720337.jpg,-0.0002549,0.0006206
01720348.jpg,-0.0002549,0.0006206
01720359.jpg,-0.0002549,0.0006206
01720370.jpg,-0.0002549,0.0006206
01720381.jpg,-0.0002549,0.0006250
01720392.jpg,-0.0002550,0.0006698
01720403.jpg,-0.0002552,0.0007355
01720414.jpg,-0.0002594,0.0007992
01720425.jpg,-0.0002821,0.0008636
01720436.jpg,-0.0003328,0.0009057
01720447.jpg,-0.0003972,0.0009192
01720458.jpg,-0.0004622,0.0009232
01720469.jpg,-0.0005273,0.0009213
01720480.jpg,-0.0005928,0.0009203
01720491.jpg,-0.0006581,0.0009197
01720502.jpg,-0.0007231,0.0009168
01720513.jpg,-0.0007866,0.0009015
01720524.jpg,-0.0008504,0.0008885
01720535.jpg,-0.0009141,0.0008748
01720546.jpg,-0.0009759,0.0008537
01720557.jpg,-0.0010337,0.0008233
01720568.jpg,-0.0010850,0.0007832
01720579.jpg,-0.0011263,0.0007328
01720590.jpg,-0.0011549,0.0006741
01720601.jpg,-0.0011689,0.0006102
01720612.jpg,-0.0011725,0.0005449
01720623.jpg,-0.0011732,0.0004797
01720634.jpg,-0.0011731,0.0004146
01720645.jpg,-0.0011729,0.0003495
01720656.jpg,-0.0011725,0.0002843
01720667.jpg,-0.0011722,0.0002189
