filename,lat,long
01793602.jpg,-0.0011677,-0.0002450
01793613.jpg,-0.0011661,-0.0002649
01793624.jpg,-0.0011533,-0.0003047
01793635.jpg,-0.0011113,-0.0003474
01793646.jpg,-0.0010512,-0.0003694
01793657.jpg,-0.0009890,-0.0003867
01793668.jpg,-0.0009260,-0.0004004
01793679.jpg,-0.0008621,-0.0004036
01793690.jpg,-0.0007976,-0.0004045
01793701.jpg,-0.0007330,-0.0004050
01793712.jpg,-0.0006715,-0.0004051
01793723.jpg,-0.0006071,-0.0004053
01793734.jpg,-0.0005431,-0.0004055
01793745.jpg,-0.0004793,-0.0004019
01793756.jpg,-0.0004307,-0.0003828
01793767.jpg,-0.0004310,-0.0003829
01793778.jpg,-0.0004310,-0.0003829
01793789.jpg,-0.0004310,-0.0003829
01793800.jpg,-0.0004310,-0.0003829
01793811.jpg,-0.0004310,-0.0003829
01793822.jpg,-0.0004310,-0.0003829
01793833.jpg,-0.0004310,-0.0003829
01793844.jpg,-0.0004310,-0.0003829
01793855.jpg,-0.0004310,-0.0003829
01793866.jpg,-0.0004310,-0.0003829
01793877.jpg,-0.0004310,-0.0003829
01793888.jpg,-0.0004310,-0.0003829
01793899.jpg,-0.0004310,-0.0003829
01793910.jpg,-0.0004310,-0.0003829
01793921.jpg,-0.0004310,-0.0003829
01793932.jpg,-0.0004310,-0.0003829
01793943.jpg,-0.0004310,-0.0003829
01793954.jpg,-0.0004310,-0.0003829
01793965.jpg,-0.0004310,-0.0003829
01793976.jpg,-0.0004310,-0.0003829
01793987.jpg,-0.0004310,-0.0003829
01793998.jpg,-0.0004310,-0.0003829
01794009.jpg,-0.0004280,-0.0003816
01794020.jpg,-0.0004080,-0.0003786
01794031.jpg,-0.0003662,-0.0003743
01794042.jpg,-0.0003082,-0.0003539
01794053.jpg,-0.0002658,-0.0003057
01794064.jpg,-0.0002567,-0.0002416
01794075.jpg,-0.0002537,-0.0001771
01794086.jpg,-0.0002532,-0.0001131
01794097.jpg,-0.0002531,-0.0000487
01794108.jpg,-0.0002532,0.0000160
01794119.jpg,-0.0002534,0.0000799
01794130.jpg,-0.0002536,0.0001444
01794141.jpg,-0.0002537,0.0002091
01794152.jpg,-0.0002539,0.0002731
01794163.jpg,-0.0002541,0.0003350
01794174.jpg,-0.0002543,0.0003991
01794185.jpg,-0.0002544,0.0004577
01794196.jpg,-0.0002544,0.0004582
01794207.jpg,-0.0002545,0.0004704
01794218.jpg,-0.0002546,0.0005028
01794229.jpg,-0.0002547,0.0005564
01794240.jpg,-0.0002549,0.0006213
01794251.jpg,-0.0002551,0.0006870
01794262.jpg,-0.0002557,0.0007537
01794273.jpg,-0.0002587,0.0007946
01794284.jpg,-0.0002603,0.0008062
01794295.jpg,-0.0002684,0.0008369
01794306.jpg,-0.0002949,0.0008820
01794317.jpg,-0.0003520,0.0009123
01794328.jpg,-0.0004155,0.0009215
01794339.jpg,-0.0004797,0.0009225
01794350.jpg,-0.0005436,0.0009210
01794361.jpg,-0.0006084,0.0009201
01794372.jpg,-0.0006727,0.0009195
01794383.jpg,-0.0007368,0.0009191
01794394.jpg,-0.0008016,0.0009185
01794405.jpg,-0.0008656,0.0009148
01794416.jpg,-0.0009285,0.0009032
01794427.jpg,-0.0009896,0.0008820
01794438.jpg,-0.0010467,0.0008525
01794449.jpg,-0.0010980,0.0008146
01794460.jpg,-0.0011417,0.0007669
01794471.jpg,-0.0011746,0.0007115
01794482.jpg,-0.0011954,0.0006512
01794493.jpg,-0.0012032,0.0005873
01794504.jpg,-0.0012047,0.0005227
01794515.jpg,-0.0012048,0.0004588
01794526.jpg,-0.0012046,0.0003942
01794537.jpg,-0.0012043,0.0003296
01794548.jpg,-0.0012039,0.0002657
01794559.jpg,-0.0012035,0.0002009
01794570.jpg,-0.0012030,0.0001381
01794581.jpg,-0.0012020,0.0000739
01794592.jpg,-0.0012014,0.0000228
01794603.jpg,-0.0012012,-0.0000007
01794614.jpg,-0.0012009,-0.0000460
01794625.jpg,-0.0012006,-0.0001019
01794636.jpg,-0.0012006,-0.0001018
01794647.jpg,-0.0012006,-0.0001018
01794658.jpg,-0.0012006,-0.0001018
01794669.jpg,-0.0012006,-0.0001018
01794680.jpg,-0.0012006,-0.0001018
01794691.jpg,-0.0012006,-0.0001018
01794702.jpg,-0.0012006,-0.0001018
01794713.jpg,-0.0012006,-0.0001018
01794724.jpg,-0.0012006,-0.0001018
01794735.jpg,-0.0012006,-0.0001018
01794746.jpg,-0.0012006,-0.0001018
01794757.jpg,-0.0012006,-0.0001018
01794768.jpg,-0.0012006,-0.0001018
01794779.jpg,-0.0012005,-0.0001086
01794790.jpg,-0.0012003,-0.0001345
01794801.jpg,-0.0012000,-0.0001816
