filename,lat,long
01123601.jpg,-0.0011676,-0.0002497
01123612.jpg,-0.0011563,-0.0002964
01123623.jpg,-0.0011133,-0.0003478
01123634.jpg,-0.0010531,-0.0003693
01123645.jpg,-0.0009907,-0.0003864
01123656.jpg,-0.0009276,-0.0004000
01123667.jpg,-0.0008642,-0.0004034
01123678.jpg,-0.0007989,-0.0004044
01123689.jpg,-0.0007349,-0.0004050
01123700.jpg,-0.0006720,-0.0004051
01123711.jpg,-0.0006066,-0.0004052
01123722.jpg,-0.0005427,-0.0004054
01123733.jpg,-0.0004774,-0.0004008
01123744.jpg,-0.0004264,-0.0003821
01123755.jpg,-0.0004267,-0.0003822
01123766.jpg,-0.0004267,-0.0003822
01123777.jpg,-0.0004267,-0.0003822
01123788.jpg,-0.0004267,-0.0003822
01123799.jpg,-0.0004267,-0.0003822
01123810.jpg,-0.0004267,-0.0003822
01123821.jpg,-0.0004267,-0.0003822
01123832.jpg,-0.0004267,-0.0003822
01123843.jpg,-0.0004267,-0.0003822
01123854.jpg,-0.0004267,-0.0003822
01123865.jpg,-0.0004267,-0.0003822
01123876.jpg,-0.0004267,-0.0003822
01123887.jpg,-0.0004267,-0.0003822
01123898.jpg,-0.0004267,-0.0003822
01123909.jpg,-0.0004267,-0.0003822
01123920.jpg,-0.0004267,-0.0003822
01123931.jpg,-0.0004267,-0.0003822
01123942.jpg,-0.0004267,-0.0003822
01123953.jpg,-0.0004267,-0.0003822
01123964.jpg,-0.0004267,-0.0003822
01123975.jpg,-0.0004267,-0.0003822
01123986.jpg,-0.0004267,-0.0003822
01123997.jpg,-0.0004267,-0.0003822
01124008.jpg,-0.0004161,-0.0003799
01124019.jpg,-0.0003665,-0.0003738
01124030.jpg,-0.0003029,-0.0003499
01124041.jpg,-0.0002655,-0.0002977
01124052.jpg,-0.0002556,-0.0002336
01124063.jpg,-0.0002537,-0.0001699
01124074.jpg,-0.0002532,-0.0001048
01124085.jpg,-0.0002532,-0.0000406
01124096.jpg,-0.0002533,0.0000234
01124107.jpg,-0.0002535,0.0000884
01124118.jpg,-0.0002536,0.0001521
01124129.jpg,-0.0002538,0.0002165
01124140.jpg,-0.0002540,0.0002814
01124151.jpg,-0.0002541,0.0003453
01124162.jpg,-0.0002542,0.0003607
01124173.jpg,-0.0002543,0.0003948
01124184.jpg,-0.0002544,0.0004564
01124195.jpg,-0.0002546,0.0005185
01124206.jpg,-0.0002548,0.0005777
01124217.jpg,-0.0002548,0.0005984
01124228.jpg,-0.0002548,0.0005984
01124239.jpg,-0.0002548,0.0005984
01124250.jpg,-0.0002548,0.0005984
01124261.jpg,-0.0002548,0.0005984
01124272.jpg,-0.0002548,0.0005984
01124283.jpg,-0.0002548,0.0005984
01124294.jpg,-0.0002548,0.0005984
01124305.jpg,-0.0002548,0.0005984
01124316.jpg,-0.0002548,0.0005984
01124327.jpg,-0.0002548,0.0005984
01124338.jpg,-0.0002548,0.0005984
01124349.jpg,-0.0002548,0.0005984
01124360.jpg,-0.0002548,0.0005984
01124371.jpg,-0.0002548,0.0005984
01124382.jpg,-0.0002548,0.0005984
01124393.jpg,-0.0002548,0.0005984
01124404.jpg,-0.0002548,0.0005984
01124415.jpg,-0.0002548,0.0005984
01124426.jpg,-0.0002548,0.0005984
01124437.jpg,-0.0002548,0.0005984
01124448.jpg,-0.0002548,0.0005984
01124459.jpg,-0.0002548,0.0005984
01124470.jpg,-0.0002548,0.0005992
01124481.jpg,-0.0002549,0.0006292
