filename,lat,long
00268524.jpg,-0.0011678,-0.0001976
00268535.jpg,-0.0011678,-0.0001976
00268546.jpg,-0.0011678,-0.0001976
00268557.jpg,-0.0011678,-0.0001976
00268568.jpg,-0.0011678,-0.0001976
00268579.jpg,-0.0011678,-0.0001976
00268590.jpg,-0.0011678,-0.0001976
00268601.jpg,-0.0011678,-0.0001976
00268612.jpg,-0.0011680,-0.0002160
00268623.jpg,-0.0011635,-0.0002698
00268634.jpg,-0.0011371,-0.0003254
00268645.jpg,-0.0010747,-0.0003588
00268656.jpg,-0.0010030,-0.0003693
00268667.jpg,-0.0009317,-0.0003720
00268678.jpg,-0.0008594,-0.0003729
00268689.jpg,-0.0007869,-0.0003733
00268700.jpg,-0.0007156,-0.0003735
00268711.jpg,-0.0006427,-0.0003737
00268722.jpg,-0.0005707,-0.0003740
00268733.jpg,-0.0005077,-0.0003743
00268744.jpg,-0.0005077,-0.0003743
00268755.jpg,-0.0005077,-0.0003743
00268766.jpg,-0.0005077,-0.0003743
00268777.jpg,-0.0005077,-0.0003743
00268788.jpg,-0.0005077,-0.0003743
00268799.jpg,-0.0005077,-0.0003743
00268810.jpg,-0.0005077,-0.0003743
00268821.jpg,-0.0005077,-0.0003743
00268832.jpg,-0.0005077,-0.0003743
00268843.jpg,-0.0005077,-0.0003743
00268854.jpg,-0.0005077,-0.0003743
00268865.jpg,-0.0005077,-0.0003743
00268876.jpg,-0.0005077,-0.0003743
00268887.jpg,-0.0005077,-0.0003743
00268898.jpg,-0.0005077,-0.0003743
00268909.jpg,-0.0005077,-0.0003743
00268920.jpg,-0.0005077,-0.0003743
00268931.jpg,-0.0005077,-0.0003743
00268942.jpg,-0.0005077,-0.0003743
00268953.jpg,-0.0005077,-0.0003743
00268964.jpg,-0.0005077,-0.0003743
00268975.jpg,-0.0005077,-0.0003743
00268986.jpg,-0.0005077,-0.0003743
00268997.jpg,-0.0005077,-0.0003743
00269008.jpg,-0.0005077,-0.0003743
00269019.jpg,-0.0005077,-0.0003743
00269030.jpg,-0.0005077,-0.0003743
00269041.jpg,-0.0005077,-0.0003743
00269052.jpg,-0.0005077,-0.0003743
00269063.jpg,-0.0005077,-0.0003743
00269074.jpg,-0.0005050,-0.0003742
00269085.jpg,-0.0004750,-0.0003742
00269096.jpg,-0.0004126,-0.0003744
00269107.jpg,-0.0003541,-0.0003699
00269118.jpg,-0.0002977,-0.0003457
00269129.jpg,-0.0002619,-0.0002834
00269140.jpg,-0.0002565,-0.0002109
00269151.jpg,-0.0002539,-0.0001388
00269162.jpg,-0.0002533,-0.0000663
00269173.jpg,-0.0002533,0.0000050
00269184.jpg,-0.0002534,0.0000779
00269195.jpg,-0.0002536,0.0001497
00269206.jpg,-0.0002538,0.0002214
00269217.jpg,-0.0002540,0.0002933
00269228.jpg,-0.0002542,0.0003659
00269239.jpg,-0.0002544,0.0004372
00269250.jpg,-0.0002546,0.0005091
00269261.jpg,-0.0002548,0.0005819
00269272.jpg,-0.0002550,0.0006535
00269283.jpg,-0.0002552,0.0007120
00269294.jpg,-0.0002561,0.0007731
00269305.jpg,-0.0002753,0.0008354
00269316.jpg,-0.0003238,0.0008770
00269327.jpg,-0.0003955,0.0008855
00269338.jpg,-0.0004683,0.0008880
00269349.jpg,-0.0005386,0.0008891
00269360.jpg,-0.0006031,0.0008885
00269371.jpg,-0.0006635,0.0008881
00269382.jpg,-0.0007367,0.0008876
00269393.jpg,-0.0007761,0.0008873
00269404.jpg,-0.0007863,0.0008872
00269415.jpg,-0.0008299,0.0008861
00269426.jpg,-0.0008991,0.0008768
00269437.jpg,-0.0009689,0.0008558
00269448.jpg,-0.0010003,0.0008434
00269459.jpg,-0.0010311,0.0008255
00269470.jpg,-0.0010825,0.0007842
00269481.jpg,-0.0011271,0.0007287
00269492.jpg,-0.0011582,0.0006631
00269503.jpg,-0.0011684,0.0005923
00269514.jpg,-0.0011721,0.0005210
00269525.jpg,-0.0011730,0.0004480
00269536.jpg,-0.0011729,0.0003767
00269547.jpg,-0.0011726,0.0003043
00269558.jpg,-0.0011723,0.0002318
00269569.jpg,-0.0011718,0.0001608
00269580.jpg,-0.0011708,0.0000878
00269591.jpg,-0.0011697,0.0000160
00269602.jpg,-0.0011694,-0.0000536
00269613.jpg,-0.0011693,-0.0000740
00269624.jpg,-0.0011691,-0.0001078
00269635.jpg,-0.0011690,-0.0001164
00269646.jpg,-0.0011688,-0.0001507
00269657.jpg,-0.0011685,-0.0001948
00269668.jpg,-0.0011685,-0.0001947
00269679.jpg,-0.0011685,-0.0001947
00269690.jpg,-0.0011685,-0.0001947
00269701.jpg,-0.0011685,-0.0001947
00269712.jpg,-0.0011685,-0.0001947
00269723.jpg,-0.0011685,-0.0001947
00269734.jpg,-0.0011685,-0.0001947
00269745.jpg,-0.0011685,-0.0001947
00269756.jpg,-0.0011685,-0.0001947
00269767.jpg,-0.0011685,-0.0001947
00269778.jpg,-0.0011685,-0.0001947
00269789.jpg,-0.0011685,-0.0001947
00269800.jpg,-0.0011685,-0.0001947
00269811.jpg,-0.0011685,-0.0001974
