filename,lat,long
00333222.jpg,-0.0011678,-0.0001976
00333233.jpg,-0.0011680,-0.0002083
00333244.jpg,-0.0011644,-0.0002656
00333255.jpg,-0.0011397,-0.0003244
00333266.jpg,-0.0010795,-0.0003613
00333277.jpg,-0.0010070,-0.0003701
00333288.jpg,-0.0009351,-0.0003722
00333299.jpg,-0.0008623,-0.0003730
00333310.jpg,-0.0007901,-0.0003733
00333321.jpg,-0.0007176,-0.0003735
00333332.jpg,-0.0006450,-0.0003738
00333343.jpg,-0.0005729,-0.0003739
00333354.jpg,-0.0005245,-0.0003740
00333365.jpg,-0.0005247,-0.0003740
00333376.jpg,-0.0005247,-0.0003740
00333387.jpg,-0.0005247,-0.0003740
00333398.jpg,-0.0005247,-0.0003740
00333409.jpg,-0.0005247,-0.0003740
00333420.jpg,-0.0005247,-0.0003740
00333431.jpg,-0.0005247,-0.0003740
00333442.jpg,-0.0005247,-0.0003740
00333453.jpg,-0.0005247,-0.0003740
00333464.jpg,-0.0005247,-0.0003740
00333475.jpg,-0.0005247,-0.0003740
00333486.jpg,-0.0005247,-0.0003740
00333497.jpg,-0.0005247,-0.0003740
00333508.jpg,-0.0005247,-0.0003740
00333519.jpg,-0.0005247,-0.0003740
00333530.jpg,-0.0005247,-0.0003740
00333541.jpg,-0.0005247,-0.0003740
00333552.jpg,-0.0005247,-0.0003740
00333563.jpg,-0.0005247,-0.0003740
00333574.jpg,-0.0005247,-0.0003740
00333585.jpg,-0.0005247,-0.0003740
00333596.jpg,-0.0005247,-0.0003740
00333607.jpg,-0.0005247,-0.0003740
00333618.jpg,-0.0005247,-0.0003740
00333629.jpg,-0.0005247,-0.0003740
00333640.jpg,-0.0005247,-0.0003740
00333651.jpg,-0.0005247,-0.0003740
00333662.jpg,-0.0005247,-0.0003740
00333673.jpg,-0.0005247,-0.0003740
00333684.jpg,-0.0005247,-0.0003740
00333695.jpg,-0.0005202,-0.0003740
00333706.jpg,-0.0004774,-0.0003742
00333717.jpg,-0.0004083,-0.0003744
00333728.jpg,-0.0003432,-0.0003676
00333739.jpg,-0.0002848,-0.0003346
00333750.jpg,-0.0002603,-0.0002661
00333761.jpg,-0.0002545,-0.0001935
00333772.jpg,-0.0002533,-0.0001211
00333783.jpg,-0.0002532,-0.0000479
00333794.jpg,-0.0002533,0.0000244
00333805.jpg,-0.0002535,0.0000975
00333816.jpg,-0.0002537,0.0001700
00333827.jpg,-0.0002539,0.0002428
00333838.jpg,-0.0002541,0.0003149
00333849.jpg,-0.0002542,0.0003879
00333860.jpg,-0.0002544,0.0004207
00333871.jpg,-0.0002544,0.0004207
00333882.jpg,-0.0002544,0.0004207
00333893.jpg,-0.0002544,0.0004207
00333904.jpg,-0.0002544,0.0004207
00333915.jpg,-0.0002544,0.0004207
00333926.jpg,-0.0002544,0.0004207
00333937.jpg,-0.0002544,0.0004207
00333948.jpg,-0.0002544,0.0004207
00333959.jpg,-0.0002544,0.0004207
00333970.jpg,-0.0002544,0.0004207
00333981.jpg,-0.0002544,0.0004207
00333992.jpg,-0.0002544,0.0004207
00334003.jpg,-0.0002544,0.0004207
00334014.jpg,-0.0002544,0.0004207
00334025.jpg,-0.0002544,0.0004269
00334036.jpg,-0.0002545,0.0004740
00334047.jpg,-0.0002547,0.0005356
00334058.jpg,-0.0002547,0.0005449
00334069.jpg,-0.0002547,0.0005628
00334080.jpg,-0.0002549,0.0006286
00334091.jpg,-0.0002550,0.0006599
00334102.jpg,-0.0002550,0.0006659
00334113.jpg,-0.0002550,0.0006750
00334124.jpg,-0.0002550,0.0006750
00334135.jpg,-0.0002550,0.0006750
00334146.jpg,-0.0002550,0.0006750
00334157.jpg,-0.0002550,0.0006750
00334168.jpg,-0.0002550,0.0006750
00334179.jpg,-0.0002550,0.0006750
00334190.jpg,-0.0002550,0.0006750
00334201.jpg,-0.0002550,0.0006750
00334212.jpg,-0.0002550,0.0006750
00334223.jpg,-0.0002550,0.0006750
00334234.jpg,-0.0002550,0.0006750
00334245.jpg,-0.0002550,0.0006750
00334256.jpg,-0.0002550,0.0006750
00334267.jpg,-0.0002550,0.0006750
00334278.jpg,-0.0002550,0.0006750
00334289.jpg,-0.0002550,0.0006750
00334300.jpg,-0.0002550,0.0006750
00334311.jpg,-0.0002550,0.0006750
00334322.jpg,-0.0002550,0.0006750
00334333.jpg,-0.0002550,0.0006750
00334344.jpg,-0.0002550,0.0006750
00334355.jpg,-0.0002550,0.0006750
00334366.jpg,-0.0002550,0.0006750
00334377.jpg,-0.0002550,0.0006750
00334388.jpg,-0.0002550,0.0006750
00334399.jpg,-0.0002550,0.0006750
00334410.jpg,-0.0002550,0.0006750
00334421.jpg,-0.0002550,0.0006750
00334432.jpg,-0.0002550,0.0006752
00334443.jpg,-0.0002551,0.0006970
00334454.jpg,-0.0002554,0.0007571
00334465.jpg,-0.0002629,0.0008167
00334476.jpg,-0.0002986,0.0008680
00334487.jpg,-0.0003675,0.0008857
00334498.jpg,-0.0004407,0.0008888
00334509.jpg,-0.0005134,0.0008891
00334520.jpg,-0.0005728,0.0008888
00334531.jpg,-0.0006399,0.0008882
00334542.jpg,-0.0007102,0.0008878
00334553.jpg,-0.0007781,0.0008873
00334564.jpg,-0.0008502,0.0008841
00334575.jpg,-0.0009225,0.0008717
00334586.jpg,-0.0009909,0.0008467
00334597.jpg,-0.0010533,0.0008085
00334608.jpg,-0.0011069,0.0007589
00334619.jpg,-0.0011453,0.0006970
00334630.jpg,-0.0011651,0.0006265
00334641.jpg,-0.0011721,0.0005543
00334652.jpg,-0.0011732,0.0004808
00334663.jpg,-0.0011731,0.0004080
00334674.jpg,-0.0011728,0.0003348
00334685.jpg,-0.0011724,0.0002616
00334696.jpg,-0.0011720,0.0001901
00334707.jpg,-0.0011713,0.0001247
00334718.jpg,-0.0011702,0.0000523
00334729.jpg,-0.0011696,-0.0000128
00334740.jpg,-0.0011692,-0.0000502
00334751.jpg,-0.0011692,-0.0000502
00334762.jpg,-0.0011692,-0.0000501
00334773.jpg,-0.0011692,-0.0000678
00334784.jpg,-0.0011688,-0.0001342
00334795.jpg,-0.0011684,-0.0002074
