filename,lat,long
00185326.jpg,-0.0011678,-0.0001976
00185337.jpg,-0.0011678,-0.0001976
00185348.jpg,-0.0011678,-0.0001976
00185359.jpg,-0.0011678,-0.0001976
00185370.jpg,-0.0011678,-0.0001976
00185381.jpg,-0.0011678,-0.0001976
00185392.jpg,-0.0011678,-0.0001976
00185403.jpg,-0.0011678,-0.0001976
00185414.jpg,-0.0011678,-0.0001976
00185425.jpg,-0.0011678,-0.0001983
00185436.jpg,-0.0011680,-0.0002167
00185447.jpg,-0.0011667,-0.0002550
00185458.jpg,-0.0011471,-0.0003138
00185469.jpg,-0.0010967,-0.0003577
00185480.jpg,-0.0010270,-0.0003700
00185491.jpg,-0.0009560,-0.0003724
00185502.jpg,-0.0008846,-0.0003730
00185513.jpg,-0.0008128,-0.0003732
00185524.jpg,-0.0007424,-0.0003735
00185535.jpg,-0.0006719,-0.0003737
00185546.jpg,-0.0006008,-0.0003739
00185557.jpg,-0.0005291,-0.0003741
00185568.jpg,-0.0004583,-0.0003743
00185579.jpg,-0.0004249,-0.0003743
00185590.jpg,-0.0004249,-0.0003743
00185601.jpg,-0.0004249,-0.0003743
00185612.jpg,-0.0004249,-0.0003743
00185623.jpg,-0.0004249,-0.0003743
00185634.jpg,-0.0004249,-0.0003743
00185645.jpg,-0.0004249,-0.0003743
00185656.jpg,-0.0004249,-0.0003743
00185667.jpg,-0.0004249,-0.0003743
00185678.jpg,-0.0004249,-0.0003743
00185689.jpg,-0.0004249,-0.0003743
00185700.jpg,-0.0004249,-0.0003743
00185711.jpg,-0.0004249,-0.0003743
00185722.jpg,-0.0004249,-0.0003743
00185733.jpg,-0.0004249,-0.0003743
00185744.jpg,-0.0004249,-0.0003743
00185755.jpg,-0.0004249,-0.0003743
00185766.jpg,-0.0004249,-0.0003743
00185777.jpg,-0.0004249,-0.0003743
00185788.jpg,-0.0004249,-0.0003743
00185799.jpg,-0.0004249,-0.0003743
00185810.jpg,-0.0004249,-0.0003743
00185821.jpg,-0.0004249,-0.0003743
00185832.jpg,-0.0004249,-0.0003743
00185843.jpg,-0.0004249,-0.0003743
00185854.jpg,-0.0004249,-0.0003743
00185865.jpg,-0.0004249,-0.0003743
00185876.jpg,-0.0004230,-0.0003743
00185887.jpg,-0.0004054,-0.0003744
00185898.jpg,-0.0003682,-0.0003730
00185909.jpg,-0.0003110,-0.0003557
00185920.jpg,-0.0002663,-0.0003063
00185931.jpg,-0.0002554,-0.0002360
00185942.jpg,-0.0002534,-0.0001642
00185953.jpg,-0.0002531,-0.0000927
00185964.jpg,-0.0002531,-0.0000220
00185975.jpg,-0.0002533,0.0000488
00185986.jpg,-0.0002535,0.0001207
00185997.jpg,-0.0002537,0.0001914
00186008.jpg,-0.0002539,0.0002626
00186019.jpg,-0.0002541,0.0003335
00186030.jpg,-0.0002543,0.0004049
00186041.jpg,-0.0002545,0.0004772
00186052.jpg,-0.0002547,0.0005455
00186063.jpg,-0.0002549,0.0006168
00186074.jpg,-0.0002551,0.0006836
00186085.jpg,-0.0002553,0.0007502
00186096.jpg,-0.0002633,0.0008159
00186107.jpg,-0.0003000,0.0008689
00186118.jpg,-0.0003683,0.0008852
00186129.jpg,-0.0004391,0.0008886
00186140.jpg,-0.0005111,0.0008891
00186151.jpg,-0.0005773,0.0008887
00186162.jpg,-0.0006461,0.0008882
00186173.jpg,-0.0007172,0.0008877
00186184.jpg,-0.0007858,0.0008872
00186195.jpg,-0.0008567,0.0008837
00186206.jpg,-0.0009272,0.0008702
00186217.jpg,-0.0009934,0.0008452
00186228.jpg,-0.0010540,0.0008092
00186239.jpg,-0.0011054,0.0007605
00186250.jpg,-0.0011445,0.0007007
00186261.jpg,-0.0011659,0.0006327
00186272.jpg,-0.0011726,0.0005622
00186283.jpg,-0.0011734,0.0004918
00186294.jpg,-0.0011733,0.0004208
00186305.jpg,-0.0011729,0.0003488
00186316.jpg,-0.0011725,0.0002779
00186327.jpg,-0.0011721,0.0002073
00186338.jpg,-0.0011715,0.0001368
00186349.jpg,-0.0011710,0.0001122
00186360.jpg,-0.0011708,0.0000905
00186371.jpg,-0.0011702,0.0000481
00186382.jpg,-0.0011696,-0.0000158
00186393.jpg,-0.0011691,-0.0000877
00186404.jpg,-0.0011687,-0.0001584
