filename,lat,long
00173330.jpg,-0.0011678,-0.0001976
00173341.jpg,-0.0011678,-0.0001976
00173352.jpg,-0.0011678,-0.0001976
00173363.jpg,-0.0011678,-0.0001976
00173374.jpg,-0.0011678,-0.0001976
00173385.jpg,-0.0011678,-0.0001976
00173396.jpg,-0.0011679,-0.0002000
00173407.jpg,-0.0011680,-0.0002224
00173418.jpg,-0.0011653,-0.0002653
00173429.jpg,-0.0011403,-0.0003210
00173440.jpg,-0.0010833,-0.0003590
00173451.jpg,-0.0010123,-0.0003686
00173462.jpg,-0.0009398,-0.0003716
00173473.jpg,-0.0008684,-0.0003727
00173484.jpg,-0.0007961,-0.0003732
00173495.jpg,-0.0007243,-0.0003735
00173506.jpg,-0.0006527,-0.0003737
00173517.jpg,-0.0005803,-0.0003739
00173528.jpg,-0.0005088,-0.0003741
00173539.jpg,-0.0004404,-0.0003743
00173550.jpg,-0.0004192,-0.0003744
00173561.jpg,-0.0004192,-0.0003744
00173572.jpg,-0.0004192,-0.0003744
00173583.jpg,-0.0004192,-0.0003744
00173594.jpg,-0.0004192,-0.0003744
00173605.jpg,-0.0004192,-0.0003744
00173616.jpg,-0.0004192,-0.0003744
00173627.jpg,-0.0004192,-0.0003744
00173638.jpg,-0.0004192,-0.0003744
00173649.jpg,-0.0004192,-0.0003744
00173660.jpg,-0.0004192,-0.0003744
00173671.jpg,-0.0004192,-0.0003744
00173682.jpg,-0.0004192,-0.0003744
00173693.jpg,-0.0004192,-0.0003744
00173704.jpg,-0.0004192,-0.0003744
00173715.jpg,-0.0004192,-0.0003744
00173726.jpg,-0.0004192,-0.0003744
00173737.jpg,-0.0004192,-0.0003744
00173748.jpg,-0.0004192,-0.0003744
00173759.jpg,-0.0004192,-0.0003744
00173770.jpg,-0.0004192,-0.0003744
00173781.jpg,-0.0004192,-0.0003744
00173792.jpg,-0.0004192,-0.0003744
00173803.jpg,-0.0004192,-0.0003744
00173814.jpg,-0.0004192,-0.0003744
00173825.jpg,-0.0004192,-0.0003744
00173836.jpg,-0.0004192,-0.0003744
00173847.jpg,-0.0004174,-0.0003744
00173858.jpg,-0.0003967,-0.0003744
00173869.jpg,-0.0003556,-0.0003713
00173880.jpg,-0.0003046,-0.0003568
00173891.jpg,-0.0002738,-0.0003227
00173902.jpg,-0.0002590,-0.0002586
00173913.jpg,-0.0002542,-0.0001875
00173924.jpg,-0.0002533,-0.0001151
00173935.jpg,-0.0002532,-0.0000433
00173946.jpg,-0.0002533,0.0000287
00173957.jpg,-0.0002535,0.0001009
00173968.jpg,-0.0002537,0.0001723
00173979.jpg,-0.0002539,0.0002429
00173990.jpg,-0.0002541,0.0003141
00174001.jpg,-0.0002543,0.0003851
00174012.jpg,-0.0002544,0.0004575
00174023.jpg,-0.0002547,0.0005293
00174034.jpg,-0.0002549,0.0006017
00174045.jpg,-0.0002542,0.0006260
00174056.jpg,-0.0002542,0.0006260
00174067.jpg,-0.0002542,0.0006260
00174078.jpg,-0.0002542,0.0006260
00174089.jpg,-0.0002542,0.0006260
00174100.jpg,-0.0002542,0.0006260
00174111.jpg,-0.0002542,0.0006260
00174122.jpg,-0.0002542,0.0006260
00174133.jpg,-0.0002542,0.0006260
00174144.jpg,-0.0002542,0.0006260
00174155.jpg,-0.0002542,0.0006260
00174166.jpg,-0.0002542,0.0006260
00174177.jpg,-0.0002542,0.0006260
00174188.jpg,-0.0002542,0.0006260
00174199.jpg,-0.0002542,0.0006260
00174210.jpg,-0.0002542,0.0006260
00174221.jpg,-0.0002542,0.0006260
00174232.jpg,-0.0002542,0.0006260
00174243.jpg,-0.0002542,0.0006260
00174254.jpg,-0.0002542,0.0006260
00174265.jpg,-0.0002542,0.0006260
00174276.jpg,-0.0002542,0.0006260
00174287.jpg,-0.0002542,0.0006260
00174298.jpg,-0.0002542,0.0006260
00174309.jpg,-0.0002542,0.0006260
00174320.jpg,-0.0002544,0.0006287
00174331.jpg,-0.0002549,0.0006513
00174342.jpg,-0.0002551,0.0006948
00174353.jpg,-0.0002554,0.0007572
00174364.jpg,-0.0002669,0.0008220
00174375.jpg,-0.0003102,0.0008710
00174386.jpg,-0.0003806,0.0008858
00174397.jpg,-0.0004530,0.0008884
00174408.jpg,-0.0005246,0.0008892
00174419.jpg,-0.0005961,0.0008886
00174430.jpg,-0.0006675,0.0008881
00174441.jpg,-0.0007394,0.0008876
00174452.jpg,-0.0008120,0.0008866
00174463.jpg,-0.0008834,0.0008798
00174474.jpg,-0.0009534,0.0008614
00174485.jpg,-0.0010182,0.0008300
00174496.jpg,-0.0010764,0.0007887
00174507.jpg,-0.0011234,0.0007335
00174518.jpg,-0.0011542,0.0006687
00174529.jpg,-0.0011686,0.0005979
00174540.jpg,-0.0011720,0.0005259
00174551.jpg,-0.0011730,0.0004538
00174562.jpg,-0.0011729,0.0003814
00174573.jpg,-0.0011727,0.0003098
00174584.jpg,-0.0011723,0.0002374
00174595.jpg,-0.0011718,0.0001657
00174606.jpg,-0.0011708,0.0000930
00174617.jpg,-0.0011698,0.0000213
00174628.jpg,-0.0011694,-0.0000504
00174639.jpg,-0.0011689,-0.0001225
00174650.jpg,-0.0011686,-0.0001820
