filename,lat,long
00101038.jpg,-0.0011678,-0.0001978
00101049.jpg,-0.0011678,-0.0001978
00101060.jpg,-0.0011678,-0.0001978
00101071.jpg,-0.0011678,-0.0001978
00101082.jpg,-0.0011678,-0.0001978
00101093.jpg,-0.0011678,-0.0001978
00101104.jpg,-0.0011678,-0.0001978
00101115.jpg,-0.0011678,-0.0002017
00101126.jpg,-0.0011666,-0.0002476
00101137.jpg,-0.0011483,-0.0003089
00101148.jpg,-0.0011012,-0.0003537
00101159.jpg,-0.0010346,-0.0003663
00101170.jpg,-0.0009671,-0.0003707
00101181.jpg,-0.0009005,-0.0003724
00101192.jpg,-0.0008305,-0.0003728
00101203.jpg,-0.0007613,-0.0003736
00101214.jpg,-0.0006923,-0.0003733
00101225.jpg,-0.0006226,-0.0003740
00101236.jpg,-0.0005663,-0.0003742
00101247.jpg,-0.0005661,-0.0003742
00101258.jpg,-0.0005661,-0.0003742
00101269.jpg,-0.0005661,-0.0003742
00101280.jpg,-0.0005661,-0.0003742
00101291.jpg,-0.0005661,-0.0003742
00101302.jpg,-0.0005661,-0.0003742
00101313.jpg,-0.0005661,-0.0003742
00101324.jpg,-0.0005661,-0.0003742
00101335.jpg,-0.0005661,-0.0003742
00101346.jpg,-0.0005661,-0.0003742
00101357.jpg,-0.0005661,-0.0003742
00101368.jpg,-0.0005661,-0.0003742
00101379.jpg,-0.0005661,-0.0003742
00101390.jpg,-0.0005661,-0.0003742
00101401.jpg,-0.0005661,-0.0003742
00101412.jpg,-0.0005661,-0.0003742
00101423.jpg,-0.0005661,-0.0003742
00101434.jpg,-0.0005661,-0.0003742
00101445.jpg,-0.0005661,-0.0003742
00101456.jpg,-0.0005661,-0.0003742
00101467.jpg,-0.0005661,-0.0003742
00101478.jpg,-0.0005661,-0.0003742
00101489.jpg,-0.0005661,-0.0003742
00101500.jpg,-0.0005661,-0.0003742
00101511.jpg,-0.0005661,-0.0003742
00101522.jpg,-0.0005661,-0.0003742
00101533.jpg,-0.0005661,-0.0003742
00101544.jpg,-0.0005661,-0.0003742
00101555.jpg,-0.0005661,-0.0003742
00101566.jpg,-0.0005661,-0.0003742
00101577.jpg,-0.0005623,-0.0003742
00101588.jpg,-0.0005236,-0.0003743
00101599.jpg,-0.0004701,-0.0003741
00101610.jpg,-0.0004317,-0.0003744
00101621.jpg,-0.0004188,-0.0003744
00101632.jpg,-0.0003750,-0.0003725
00101643.jpg,-0.0003123,-0.0003522
00101654.jpg,-0.0002704,-0.0003015
00101665.jpg,-0.0002559,-0.0002330
00101676.jpg,-0.0002536,-0.0001628
00101687.jpg,-0.0002531,-0.0000925
00101698.jpg,-0.0002530,-0.0000218
00101709.jpg,-0.0002534,0.0000469
00101720.jpg,-0.0002535,0.0001169
00101731.jpg,-0.0002538,0.0001874
00101742.jpg,-0.0002539,0.0002318
00101753.jpg,-0.0002541,0.0002867
00101764.jpg,-0.0002542,0.0003475
00101775.jpg,-0.0002540,0.0004181
00101786.jpg,-0.0002546,0.0004883
00101797.jpg,-0.0002547,0.0005500
00101808.jpg,-0.0002549,0.0006208
00101819.jpg,-0.0002551,0.0006789
00101830.jpg,-0.0002551,0.0006792
00101841.jpg,-0.0002551,0.0006792
00101852.jpg,-0.0002551,0.0006792
00101863.jpg,-0.0002551,0.0006792
00101874.jpg,-0.0002551,0.0006792
00101885.jpg,-0.0002551,0.0006792
00101896.jpg,-0.0002551,0.0006792
00101907.jpg,-0.0002551,0.0006792
00101918.jpg,-0.0002551,0.0006792
00101929.jpg,-0.0002551,0.0006792
00101940.jpg,-0.0002551,0.0006792
00101951.jpg,-0.0002551,0.0006792
00101962.jpg,-0.0002551,0.0006792
00101973.jpg,-0.0002551,0.0006792
00101984.jpg,-0.0002551,0.0006792
00101995.jpg,-0.0002551,0.0006792
00102006.jpg,-0.0002551,0.0006792
00102017.jpg,-0.0002551,0.0006805
00102028.jpg,-0.0002551,0.0007093
00102039.jpg,-0.0002553,0.0007454
00102050.jpg,-0.0002555,0.0007605
00102061.jpg,-0.0002665,0.0008171
00102072.jpg,-0.0003051,0.0008678
00102083.jpg,-0.0003736,0.0008843
00102094.jpg,-0.0004435,0.0008885
00102105.jpg,-0.0005133,0.0008888
00102116.jpg,-0.0005490,0.0008890
00102127.jpg,-0.0006147,0.0008883
00102138.jpg,-0.0006811,0.0008879
00102149.jpg,-0.0007508,0.0008877
00102160.jpg,-0.0008172,0.0008865
00102171.jpg,-0.0008870,0.0008792
00102182.jpg,-0.0009547,0.0008608
00102193.jpg,-0.0010182,0.0008308
00102204.jpg,-0.0010744,0.0007895
00102215.jpg,-0.0011206,0.0007377
00102226.jpg,-0.0011535,0.0006747
00102237.jpg,-0.0011677,0.0006064
00102248.jpg,-0.0011723,0.0005369
00102259.jpg,-0.0011730,0.0004661
00102270.jpg,-0.0011734,0.0003962
00102281.jpg,-0.0011730,0.0003244
00102292.jpg,-0.0011725,0.0002535
00102303.jpg,-0.0011721,0.0001890
00102314.jpg,-0.0011714,0.0001291
00102325.jpg,-0.0011703,0.0000591
00102336.jpg,-0.0011699,-0.0000032
00102347.jpg,-0.0011693,-0.0000712
00102358.jpg,-0.0011689,-0.0001405
00102369.jpg,-0.0011684,-0.0002100
