filename,lat,long
00661143.jpg,-0.0011669,-0.0002565
00661154.jpg,-0.0011507,-0.0003080
00661165.jpg,-0.0011023,-0.0003521
00661176.jpg,-0.0010396,-0.0003703
00661187.jpg,-0.0009783,-0.0003885
00661198.jpg,-0.0009145,-0.0004003
00661209.jpg,-0.0008504,-0.0004034
00661220.jpg,-0.0007857,-0.0004044
00661231.jpg,-0.0007210,-0.0004050
00661242.jpg,-0.0006567,-0.0004052
00661253.jpg,-0.0005916,-0.0004053
00661264.jpg,-0.0005273,-0.0004055
00661275.jpg,-0.0004624,-0.0003944
00661286.jpg,-0.0003980,-0.0003787
00661297.jpg,-0.0003320,-0.0003647
00661308.jpg,-0.0002797,-0.0003260
00661319.jpg,-0.0002588,-0.0002645
00661330.jpg,-0.0002540,-0.0002004
00661341.jpg,-0.0002532,-0.0001358
00661352.jpg,-0.0002531,-0.0000710
00661363.jpg,-0.0002532,-0.0000067
00661374.jpg,-0.0002534,0.0000584
00661385.jpg,-0.0002535,0.0001224
00661396.jpg,-0.0002537,0.0001875
00661407.jpg,-0.0002539,0.0002518
00661418.jpg,-0.0002541,0.0003146
00661429.jpg,-0.0002542,0.0003757
00661440.jpg,-0.0002544,0.0004404
00661451.jpg,-0.0002546,0.0005046
00661462.jpg,-0.0002548,0.0005688
00661473.jpg,-0.0002550,0.0005819
00661484.jpg,-0.0002550,0.0005820
00661495.jpg,-0.0002550,0.0005820
00661506.jpg,-0.0002550,0.0005820
00661517.jpg,-0.0002550,0.0005820
00661528.jpg,-0.0002550,0.0005820
00661539.jpg,-0.0002550,0.0005820
00661550.jpg,-0.0002550,0.0005820
00661561.jpg,-0.0002550,0.0005820
00661572.jpg,-0.0002550,0.0005820
00661583.jpg,-0.0002550,0.0005820
00661594.jpg,-0.0002550,0.0005820
00661605.jpg,-0.0002550,0.0005820
00661616.jpg,-0.0002550,0.0005820
00661627.jpg,-0.0002550,0.0005820
00661638.jpg,-0.0002549,0.0005851
00661649.jpg,-0.0002550,0.0006240
00661660.jpg,-0.0002551,0.0006899
00661671.jpg,-0.0002559,0.0007576
00661682.jpg,-0.0002656,0.0008228
00661693.jpg,-0.0002966,0.0008819
00661704.jpg,-0.0003543,0.0009123
00661715.jpg,-0.0004183,0.0009220
00661726.jpg,-0.0004767,0.0009222
00661737.jpg,-0.0005411,0.0009209
00661748.jpg,-0.0006058,0.0009201
00661759.jpg,-0.0006698,0.0009196
00661770.jpg,-0.0007340,0.0009140
00661781.jpg,-0.0007970,0.0008989
00661792.jpg,-0.0008597,0.0008868
00661803.jpg,-0.0009231,0.0008724
00661814.jpg,-0.0009831,0.0008505
00661825.jpg,-0.0010398,0.0008191
00661836.jpg,-0.0010890,0.0007778
00661847.jpg,-0.0011287,0.0007274
00661858.jpg,-0.0011561,0.0006686
00661869.jpg,-0.0011696,0.0006061
00661880.jpg,-0.0011722,0.0005414
00661891.jpg,-0.0011731,0.0004771
00661902.jpg,-0.0011731,0.0004127
00661913.jpg,-0.0011729,0.0003480
00661924.jpg,-0.0011726,0.0002840
00661935.jpg,-0.0011722,0.0002190
00661946.jpg,-0.0011718,0.0001552
00661957.jpg,-0.0011708,0.0000906
00661968.jpg,-0.0011710,0.0000263
00661979.jpg,-0.0011848,-0.0000367
00661990.jpg,-0.0011962,-0.0001002
00662001.jpg,-0.0011992,-0.0001649
