filename,lat,long
00780788.jpg,-0.0011677,-0.0002484
00780799.jpg,-0.0011602,-0.0002855
00780810.jpg,-0.0011251,-0.0003377
00780821.jpg,-0.0010741,-0.0003618
00780832.jpg,-0.0010113,-0.0003797
00780843.jpg,-0.0009536,-0.0003952
00780854.jpg,-0.0009285,-0.0003994
00780865.jpg,-0.0009285,-0.0003994
00780876.jpg,-0.0009285,-0.0003994
00780887.jpg,-0.0009285,-0.0003994
00780898.jpg,-0.0009285,-0.0003994
00780909.jpg,-0.0009285,-0.0003994
00780920.jpg,-0.0009285,-0.0003994
00780931.jpg,-0.0009285,-0.0003994
00780942.jpg,-0.0009285,-0.0003994
00780953.jpg,-0.0009262,-0.0003996
00780964.jpg,-0.0008992,-0.0004022
00780975.jpg,-0.0008433,-0.0004037
00780986.jpg,-0.0007843,-0.0004045
00780997.jpg,-0.0007196,-0.0004049
00781008.jpg,-0.0006801,-0.0004051
00781019.jpg,-0.0006302,-0.0004052
00781030.jpg,-0.0005795,-0.0004053
00781041.jpg,-0.0005373,-0.0004055
00781052.jpg,-0.0004969,-0.0004056
00781063.jpg,-0.0004896,-0.0004056
00781074.jpg,-0.0004896,-0.0004056
00781085.jpg,-0.0004896,-0.0004056
00781096.jpg,-0.0004896,-0.0004056
00781107.jpg,-0.0004896,-0.0004056
00781118.jpg,-0.0004896,-0.0004056
00781129.jpg,-0.0004896,-0.0004056
00781140.jpg,-0.0004896,-0.0004056
00781151.jpg,-0.0004896,-0.0004056
00781162.jpg,-0.0004896,-0.0004056
00781173.jpg,-0.0004896,-0.0004056
00781184.jpg,-0.0004896,-0.0004056
00781195.jpg,-0.0004896,-0.0004056
00781206.jpg,-0.0004896,-0.0004056
00781217.jpg,-0.0004896,-0.0004056
00781228.jpg,-0.0004896,-0.0004056
00781239.jpg,-0.0004896,-0.0004056
00781250.jpg,-0.0004896,-0.0004056
00781261.jpg,-0.0004896,-0.0004056
00781272.jpg,-0.0004896,-0.0004056
00781283.jpg,-0.0004896,-0.0004056
00781294.jpg,-0.0004896,-0.0004056
00781305.jpg,-0.0004896,-0.0004056
00781316.jpg,-0.0004896,-0.0004056
00781327.jpg,-0.0004896,-0.0004056
00781338.jpg,-0.0004896,-0.0004056
00781349.jpg,-0.0004896,-0.0004056
00781360.jpg,-0.0004896,-0.0004056
00781371.jpg,-0.0004896,-0.0004056
00781382.jpg,-0.0004896,-0.0004056
00781393.jpg,-0.0004896,-0.0004056
00781404.jpg,-0.0004896,-0.0004056
00781415.jpg,-0.0004896,-0.0004056
00781426.jpg,-0.0004896,-0.0004056
00781437.jpg,-0.0004896,-0.0004056
00781448.jpg,-0.0004896,-0.0004056
00781459.jpg,-0.0004896,-0.0004056
00781470.jpg,-0.0004896,-0.0004056
00781481.jpg,-0.0004896,-0.0004056
00781492.jpg,-0.0004896,-0.0004056
00781503.jpg,-0.0004896,-0.0004056
00781514.jpg,-0.0004896,-0.0004056
00781525.jpg,-0.0004896,-0.0004056
00781536.jpg,-0.0004896,-0.0004056
00781547.jpg,-0.0004896,-0.0004056
00781558.jpg,-0.0004896,-0.0004056
00781569.jpg,-0.0004873,-0.0004056
00781580.jpg,-0.0004620,-0.0003959
00781591.jpg,-0.0004090,-0.0003806
00781602.jpg,-0.0003491,-0.0003707
00781613.jpg,-0.0002931,-0.0003386
00781624.jpg,-0.0002644,-0.0002887
00781635.jpg,-0.0002573,-0.0002288
00781646.jpg,-0.0002545,-0.0001653
00781657.jpg,-0.0002535,-0.0001080
00781668.jpg,-0.0002533,-0.0000485
00781679.jpg,-0.0002533,0.0000154
00781690.jpg,-0.0002534,0.0000744
00781701.jpg,-0.0002536,0.0001326
00781712.jpg,-0.0002537,0.0001963
00781723.jpg,-0.0002539,0.0002561
00781734.jpg,-0.0002540,0.0003122
00781745.jpg,-0.0002542,0.0003749
00781756.jpg,-0.0002544,0.0004307
00781767.jpg,-0.0002545,0.0004930
00781778.jpg,-0.0002547,0.0005544
00781789.jpg,-0.0002548,0.0005895
00781800.jpg,-0.0002548,0.0005895
00781811.jpg,-0.0002548,0.0005895
00781822.jpg,-0.0002548,0.0005895
00781833.jpg,-0.0002548,0.0005895
00781844.jpg,-0.0002548,0.0005895
00781855.jpg,-0.0002548,0.0005896
00781866.jpg,-0.0002549,0.0006053
00781877.jpg,-0.0002550,0.0006513
00781888.jpg,-0.0002550,0.0006607
00781899.jpg,-0.0002551,0.0006767
00781910.jpg,-0.0002552,0.0007231
00781921.jpg,-0.0002587,0.0007873
00781932.jpg,-0.0002689,0.0008358
00781943.jpg,-0.0002723,0.0008512
00781954.jpg,-0.0002723,0.0008512
00781965.jpg,-0.0002723,0.0008512
00781976.jpg,-0.0002723,0.0008512
00781987.jpg,-0.0002723,0.0008512
00781998.jpg,-0.0002723,0.0008512
00782009.jpg,-0.0002723,0.0008512
00782020.jpg,-0.0002723,0.0008512
00782031.jpg,-0.0002723,0.0008512
00782042.jpg,-0.0002723,0.0008512
00782053.jpg,-0.0002775,0.0008606
00782064.jpg,-0.0003044,0.0008920
00782075.jpg,-0.0003602,0.0009168
00782086.jpg,-0.0004179,0.0009217
00782097.jpg,-0.0004749,0.0009223
00782108.jpg,-0.0005382,0.0009209
00782119.jpg,-0.0005966,0.0009202
00782130.jpg,-0.0006546,0.0009197
00782141.jpg,-0.0007183,0.0009181
00782152.jpg,-0.0007752,0.0009039
00782163.jpg,-0.0008309,0.0008914
00782174.jpg,-0.0008928,0.0008800
00782185.jpg,-0.0009504,0.0008627
00782196.jpg,-0.0010019,0.0008414
00782207.jpg,-0.0010544,0.0008085
00782218.jpg,-0.0010986,0.0007654
00782229.jpg,-0.0011329,0.0007213
00782240.jpg,-0.0011576,0.0006660
00782251.jpg,-0.0011680,0.0006038
00782262.jpg,-0.0011721,0.0005472
00782273.jpg,-0.0011730,0.0004880
00782284.jpg,-0.0011731,0.0004240
00782295.jpg,-0.0011729,0.0003665
00782306.jpg,-0.0011726,0.0003084
00782317.jpg,-0.0011723,0.0002442
00782328.jpg,-0.0011720,0.0001853
00782339.jpg,-0.0011713,0.0001275
00782350.jpg,-0.0011704,0.0000638
00782361.jpg,-0.0011707,0.0000042
00782372.jpg,-0.0011721,-0.0000232
00782383.jpg,-0.0011721,-0.0000232
00782394.jpg,-0.0011721,-0.0000232
00782405.jpg,-0.0011744,-0.0000277
00782416.jpg,-0.0011850,-0.0000582
00782427.jpg,-0.0011930,-0.0000846
00782438.jpg,-0.0011980,-0.0001035
00782449.jpg,-0.0011980,-0.0001035
00782460.jpg,-0.0011980,-0.0001035
00782471.jpg,-0.0011980,-0.0001035
00782482.jpg,-0.0011980,-0.0001035
00782493.jpg,-0.0011980,-0.0001035
00782504.jpg,-0.0011980,-0.0001035
00782515.jpg,-0.0011980,-0.0001035
00782526.jpg,-0.0011980,-0.0001035
00782537.jpg,-0.0011980,-0.0001035
00782548.jpg,-0.0011980,-0.0001035
00782559.jpg,-0.0011980,-0.0001035
00782570.jpg,-0.0011980,-0.0001035
00782581.jpg,-0.0011980,-0.0001035
00782592.jpg,-0.0011980,-0.0001035
00782603.jpg,-0.0011980,-0.0001035
00782614.jpg,-0.0011983,-0.0001086
00782625.jpg,-0.0011985,-0.0001418
00782636.jpg,-0.0012001,-0.0002018
