filename,lat,long
01572689.jpg,-0.0011677,-0.0002461
01572700.jpg,-0.0011648,-0.0002701
01572711.jpg,-0.0011489,-0.0003118
01572722.jpg,-0.0011036,-0.0003536
01572733.jpg,-0.0010436,-0.0003718
01572744.jpg,-0.0009821,-0.0003887
01572755.jpg,-0.0009192,-0.0003999
01572766.jpg,-0.0008560,-0.0004034
01572777.jpg,-0.0007919,-0.0004043
01572788.jpg,-0.0007282,-0.0004051
01572799.jpg,-0.0006676,-0.0004051
01572810.jpg,-0.0006044,-0.0004053
01572821.jpg,-0.0005409,-0.0004055
01572832.jpg,-0.0004937,-0.0004056
01572843.jpg,-0.0004938,-0.0004056
01572854.jpg,-0.0004938,-0.0004056
01572865.jpg,-0.0004938,-0.0004056
01572876.jpg,-0.0004938,-0.0004056
01572887.jpg,-0.0004938,-0.0004056
01572898.jpg,-0.0004938,-0.0004056
01572909.jpg,-0.0004938,-0.0004056
01572920.jpg,-0.0004938,-0.0004056
01572931.jpg,-0.0004938,-0.0004056
01572942.jpg,-0.0004938,-0.0004056
01572953.jpg,-0.0004938,-0.0004056
01572964.jpg,-0.0004938,-0.0004056
01572975.jpg,-0.0004938,-0.0004056
01572986.jpg,-0.0004938,-0.0004056
01572997.jpg,-0.0004938,-0.0004056
01573008.jpg,-0.0004938,-0.0004056
01573019.jpg,-0.0004938,-0.0004056
01573030.jpg,-0.0004938,-0.0004056
01573041.jpg,-0.0004938,-0.0004056
01573052.jpg,-0.0004938,-0.0004056
01573063.jpg,-0.0004938,-0.0004056
01573074.jpg,-0.0004938,-0.0004056
01573085.jpg,-0.0004938,-0.0004056
01573096.jpg,-0.0004938,-0.0004056
01573107.jpg,-0.0004938,-0.0004056
01573118.jpg,-0.0004938,-0.0004056
01573129.jpg,-0.0004938,-0.0004056
01573140.jpg,-0.0004938,-0.0004056
01573151.jpg,-0.0004938,-0.0004056
01573162.jpg,-0.0004938,-0.0004056
01573173.jpg,-0.0004938,-0.0004056
01573184.jpg,-0.0004938,-0.0004056
01573195.jpg,-0.0004935,-0.0004056
01573206.jpg,-0.0004809,-0.0004051
01573217.jpg,-0.0004504,-0.0003907
01573228.jpg,-0.0003984,-0.0003791
01573239.jpg,-0.0003335,-0.0003648
01573250.jpg,-0.0002799,-0.0003280
01573261.jpg,-0.0002590,-0.0002685
01573272.jpg,-0.0002544,-0.0002045
01573283.jpg,-0.0002533,-0.0001408
01573294.jpg,-0.0002531,-0.0000773
01573305.jpg,-0.0002532,-0.0000153
01573316.jpg,-0.0002532,0.0000037
01573327.jpg,-0.0002533,0.0000387
01573338.jpg,-0.0002535,0.0000947
01573349.jpg,-0.0002536,0.0001581
01573360.jpg,-0.0002538,0.0002218
