filename,lat,long
01920115.jpg,-0.0011677,-0.0002458
01920126.jpg,-0.0011648,-0.0002697
01920137.jpg,-0.0011512,-0.0003080
01920148.jpg,-0.0011102,-0.0003485
01920159.jpg,-0.0010490,-0.0003686
01920170.jpg,-0.0009870,-0.0003865
01920181.jpg,-0.0009241,-0.0003998
01920192.jpg,-0.0008596,-0.0004033
01920203.jpg,-0.0007951,-0.0004043
01920214.jpg,-0.0007306,-0.0004050
01920225.jpg,-0.0006673,-0.0004051
01920236.jpg,-0.0006027,-0.0004053
01920247.jpg,-0.0005383,-0.0004055
01920258.jpg,-0.0004826,-0.0004057
01920269.jpg,-0.0004701,-0.0004057
01920280.jpg,-0.0004701,-0.0004057
01920291.jpg,-0.0004701,-0.0004057
01920302.jpg,-0.0004701,-0.0004057
01920313.jpg,-0.0004701,-0.0004057
01920324.jpg,-0.0004701,-0.0004057
01920335.jpg,-0.0004701,-0.0004057
01920346.jpg,-0.0004701,-0.0004057
01920357.jpg,-0.0004701,-0.0004057
01920368.jpg,-0.0004701,-0.0004057
01920379.jpg,-0.0004701,-0.0004057
01920390.jpg,-0.0004701,-0.0004057
01920401.jpg,-0.0004701,-0.0004057
01920412.jpg,-0.0004701,-0.0004057
01920423.jpg,-0.0004701,-0.0004057
01920434.jpg,-0.0004701,-0.0004057
01920445.jpg,-0.0004701,-0.0004057
01920456.jpg,-0.0004701,-0.0004057
01920467.jpg,-0.0004701,-0.0004057
01920478.jpg,-0.0004701,-0.0004057
01920489.jpg,-0.0004701,-0.0004057
01920500.jpg,-0.0004701,-0.0004057
01920511.jpg,-0.0004701,-0.0004057
01920522.jpg,-0.0004701,-0.0004057
01920533.jpg,-0.0004675,-0.0004037
01920544.jpg,-0.0004486,-0.0003921
01920555.jpg,-0.0004122,-0.0003810
01920566.jpg,-0.0003719,-0.0003749
01920577.jpg,-0.0003321,-0.0003658
01920588.jpg,-0.0002840,-0.0003335
01920599.jpg,-0.0002600,-0.0002739
01920610.jpg,-0.0002543,-0.0002095
01920621.jpg,-0.0002534,-0.0001451
01920632.jpg,-0.0002531,-0.0000805
01920643.jpg,-0.0002532,-0.0000160
01920654.jpg,-0.0002533,0.0000485
01920665.jpg,-0.0002535,0.0001130
01920676.jpg,-0.0002537,0.0001775
01920687.jpg,-0.0002539,0.0002421
01920698.jpg,-0.0002540,0.0003065
01920709.jpg,-0.0002542,0.0003698
01920720.jpg,-0.0002544,0.0004333
01920731.jpg,-0.0002545,0.0004745
01920742.jpg,-0.0002546,0.0005275
01920753.jpg,-0.0002548,0.0005757
01920764.jpg,-0.0002549,0.0006074
01920775.jpg,-0.0002549,0.0006197
01920786.jpg,-0.0002549,0.0006197
01920797.jpg,-0.0002549,0.0006197
01920808.jpg,-0.0002549,0.0006197
01920819.jpg,-0.0002549,0.0006197
01920830.jpg,-0.0002549,0.0006197
01920841.jpg,-0.0002549,0.0006197
01920852.jpg,-0.0002549,0.0006197
01920863.jpg,-0.0002549,0.0006197
01920874.jpg,-0.0002549,0.0006197
01920885.jpg,-0.0002549,0.0006197
01920896.jpg,-0.0002549,0.0006197
01920907.jpg,-0.0002549,0.0006197
01920918.jpg,-0.0002549,0.0006197
01920929.jpg,-0.0002549,0.0006197
01920940.jpg,-0.0002549,0.0006197
01920951.jpg,-0.0002549,0.0006197
01920962.jpg,-0.0002549,0.0006210
01920973.jpg,-0.0002550,0.0006389
01920984.jpg,-0.0002551,0.0006744
01920995.jpg,-0.0002552,0.0007266
01921006.jpg,-0.0002593,0.0007935
01921017.jpg,-0.0002792,0.0008575
01921028.jpg,-0.0003021,0.0009014
01921039.jpg,-0.0003395,0.0009128
01921050.jpg,-0.0003930,0.0009196
01921061.jpg,-0.0004553,0.0009220
01921072.jpg,-0.0005195,0.0009209
01921083.jpg,-0.0005840,0.0009202
01921094.jpg,-0.0006486,0.0009197
01921105.jpg,-0.0007130,0.0009189
01921116.jpg,-0.0007760,0.0009041
01921127.jpg,-0.0008390,0.0008905
01921138.jpg,-0.0009023,0.0008778
01921149.jpg,-0.0009639,0.0008588
01921160.jpg,-0.0010219,0.0008307
01921171.jpg,-0.0010741,0.0007928
01921182.jpg,-0.0011164,0.0007441
01921193.jpg,-0.0011482,0.0006882
01921204.jpg,-0.0011665,0.0006262
01921215.jpg,-0.0011721,0.0005619
01921226.jpg,-0.0011731,0.0004974
01921237.jpg,-0.0011732,0.0004329
01921248.jpg,-0.0011730,0.0003684
01921259.jpg,-0.0011727,0.0003039
01921270.jpg,-0.0011723,0.0002393
01921281.jpg,-0.0011719,0.0001760
01921292.jpg,-0.0011711,0.0001117
01921303.jpg,-0.0011703,0.0000472
01921314.jpg,-0.0011697,-0.0000174
01921325.jpg,-0.0011692,-0.0000819
01921336.jpg,-0.0011688,-0.0001464
