filename,lat,long
00997061.jpg,-0.0011947,-0.0002019
00997072.jpg,-0.0011769,-0.0002337
00997083.jpg,-0.0011584,-0.0002921
00997094.jpg,-0.0011254,-0.0003384
00997105.jpg,-0.0010698,-0.0003632
00997116.jpg,-0.0010090,-0.0003804
00997127.jpg,-0.0009541,-0.0003957
00997138.jpg,-0.0008951,-0.0004015
00997149.jpg,-0.0008318,-0.0004037
00997160.jpg,-0.0007737,-0.0004045
00997171.jpg,-0.0007167,-0.0004050
00997182.jpg,-0.0006549,-0.0004052
00997193.jpg,-0.0005988,-0.0004053
00997204.jpg,-0.0005360,-0.0004055
00997215.jpg,-0.0004745,-0.0003981
00997226.jpg,-0.0004156,-0.0003817
00997237.jpg,-0.0003519,-0.0003711
00997248.jpg,-0.0002986,-0.0003448
00997259.jpg,-0.0002653,-0.0002977
00997270.jpg,-0.0002580,-0.0002343
00997281.jpg,-0.0002544,-0.0001745
00997292.jpg,-0.0002535,-0.0001177
00997303.jpg,-0.0002533,-0.0000542
00997314.jpg,-0.0002533,0.0000070
00997325.jpg,-0.0002534,0.0000630
00997336.jpg,-0.0002536,0.0001252
00997347.jpg,-0.0002537,0.0001874
00997358.jpg,-0.0002539,0.0002436
00997369.jpg,-0.0002540,0.0003048
00997380.jpg,-0.0002542,0.0003620
00997391.jpg,-0.0002543,0.0004193
00997402.jpg,-0.0002545,0.0004837
00997413.jpg,-0.0002547,0.0005426
00997424.jpg,-0.0002546,0.0005739
00997435.jpg,-0.0002546,0.0005740
00997446.jpg,-0.0002546,0.0005740
00997457.jpg,-0.0002546,0.0005740
00997468.jpg,-0.0002547,0.0005790
00997479.jpg,-0.0002549,0.0006122
00997490.jpg,-0.0002550,0.0006727
00997501.jpg,-0.0002552,0.0007312
00997512.jpg,-0.0002589,0.0007904
00997523.jpg,-0.0002602,0.0008022
00997534.jpg,-0.0002714,0.0008428
00997545.jpg,-0.0003092,0.0008943
00997556.jpg,-0.0003561,0.0009107
00997567.jpg,-0.0004194,0.0009222
00997578.jpg,-0.0004745,0.0009225
00997589.jpg,-0.0005371,0.0009210
00997600.jpg,-0.0005979,0.0009201
00997611.jpg,-0.0006361,0.0009197
00997622.jpg,-0.0006846,0.0009194
00997633.jpg,-0.0007468,0.0009103
00997644.jpg,-0.0008048,0.0008967
00997655.jpg,-0.0008600,0.0008867
00997666.jpg,-0.0009224,0.0008725
00997677.jpg,-0.0009797,0.0008513
00997688.jpg,-0.0010299,0.0008254
00997699.jpg,-0.0010800,0.0007869
00997710.jpg,-0.0011195,0.0007401
00997721.jpg,-0.0011477,0.0006916
00997732.jpg,-0.0011653,0.0006315
00997743.jpg,-0.0011716,0.0005697
00997754.jpg,-0.0011728,0.0005133
00997765.jpg,-0.0011731,0.0004521
00997776.jpg,-0.0011730,0.0003883
00997787.jpg,-0.0011728,0.0003319
00997798.jpg,-0.0011725,0.0002726
00997809.jpg,-0.0011721,0.0002090
00997820.jpg,-0.0011718,0.0001618
00997831.jpg,-0.0011709,0.0000982
00997842.jpg,-0.0011702,0.0000417
00997853.jpg,-0.0011725,0.0000014
00997864.jpg,-0.0011725,0.0000014
00997875.jpg,-0.0011725,0.0000014
00997886.jpg,-0.0011725,0.0000014
00997897.jpg,-0.0011725,0.0000014
00997908.jpg,-0.0011725,0.0000014
00997919.jpg,-0.0011725,0.0000014
00997930.jpg,-0.0011733,-0.0000006
00997941.jpg,-0.0011809,-0.0000266
00997952.jpg,-0.0011934,-0.0000812
00997963.jpg,-0.0011979,-0.0001398
00997974.jpg,-0.0012001,-0.0002037
