epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.745,4.12412,9.19174,2.33926,0.0076,0.02433,0.00881,0.00615,4.01663,8.74359,2.12345,0.0013,0.0013,0.0013
2,16.6631,4.08676,7.15558,2.20452,0.00998,0.05104,0.01233,0.00786,4.01037,8.5801,2.07651,0.00269866,0.00269866,0.00269866
3,19.7666,3.99776,5.60637,2.17994,0.01008,0.04871,0.01623,0.01233,3.76653,8.34794,2.00874,0.00409594,0.00409594,0.00409594
4,23.0128,3.95198,4.97167,2.19468,0.0101,0.06098,0.02028,0.0147,3.61911,8.22808,2.02876,0.00549183,0.00549183,0.00549183
5,26.2195,3.84756,4.54885,2.1768,0.00915,0.10956,0.04183,0.02804,3.5785,7.6325,2.01464,0.00688634,0.00688634,0.00688634
6,29.1991,3.95832,4.38687,2.20352,0.00844,0.08604,0.0352,0.02313,3.84149,7.26235,2.17784,0.00827946,0.00827946,0.00827946
7,32.2009,3.90003,4.15551,2.18625,0.84318,0.02658,0.08605,0.04652,3.93753,6.05929,2.31258,0.00967119,0.00967119,0.00967119
8,35.1408,3.98991,4.05233,2.21645,0.00691,0.11441,0.05173,0.02827,4.34292,7.04008,2.59596,0.00996535,0.00996535,0.00996535
9,38.0858,3.90188,3.85678,2.19743,0.57453,0.06457,0.0922,0.04087,4.31954,5.21464,2.61139,0.0099604,0.0099604,0.0099604
10,41.2933,3.91047,3.71701,2.20147,0.45915,0.17093,0.15154,0.06633,4.27808,4.11193,2.60013,0.00995545,0.00995545,0.00995545
11,44.5028,3.78501,3.55391,2.16833,0.49294,0.18107,0.1356,0.06084,4.35383,4.88377,2.61306,0.0099505,0.0099505,0.0099505
12,47.4165,3.80189,3.33926,2.16099,0.48979,0.21135,0.1879,0.08124,4.05347,3.86494,2.34654,0.00994555,0.00994555,0.00994555
13,50.6442,3.71036,3.22323,2.1333,0.43048,0.13818,0.1197,0.05133,4.4275,4.79759,2.52396,0.0099406,0.0099406,0.0099406
14,53.8695,3.7216,3.0615,2.13206,0.50495,0.22334,0.22565,0.10455,3.86894,3.63447,2.29326,0.00993565,0.00993565,0.00993565
15,57.0996,3.73807,2.99173,2.13321,0.51583,0.20434,0.19998,0.09239,4.03827,4.03737,2.39532,0.0099307,0.0099307,0.0099307
16,60.0407,3.58483,2.88497,2.11508,0.46269,0.22559,0.18013,0.08186,4.05361,4.43699,2.44653,0.00992575,0.00992575,0.00992575
